t_s,T20_C,T30_C
1.608000000000000000e+03,5.491776131908922665e+00,8.053603531719293329e+00
1.609000000000000000e+03,5.487525590131545172e+00,8.047312200673665927e+00
1.610000000000000000e+03,5.483278404257208472e+00,8.041025925448501255e+00
1.611000000000000000e+03,5.479034571535766673e+00,8.034744701766070918e+00
1.612000000000000000e+03,5.474794089219506610e+00,8.028468525352613128e+00
1.613000000000000000e+03,5.470556954563100760e+00,8.022197391938279409e+00
1.614000000000000000e+03,5.466323164823632119e+00,8.015931297257152366e+00
1.615000000000000000e+03,5.462092717260589758e+00,8.009670237047288310e+00
1.616000000000000000e+03,5.457865609135843066e+00,8.003414207050603579e+00
1.617000000000000000e+03,5.453641837713649743e+00,7.997163203012980226e+00
1.618000000000000000e+03,5.449421400260696657e+00,7.990917220684221611e+00
1.619000000000000000e+03,5.445204294046016358e+00,7.984676255817982238e+00
1.620000000000000000e+03,5.440990516341055461e+00,7.978440304171911635e+00
1.621000000000000000e+03,5.436780064419616920e+00,7.972209361507490932e+00
1.622000000000000000e+03,5.432572935557932858e+00,7.965983423590159873e+00
1.623000000000000000e+03,5.428369127034565089e+00,7.959762486189177366e+00
1.624000000000000000e+03,5.424168636130484167e+00,7.953546545077803565e+00
1.625000000000000000e+03,5.419971460129016982e+00,7.947335596033097360e+00
1.626000000000000000e+03,5.415777596315890285e+00,7.941129634836048723e+00
1.627000000000000000e+03,5.411587041979177393e+00,7.934928657271472119e+00
1.628000000000000000e+03,5.407399794409330163e+00,7.928732659128151283e+00
1.629000000000000000e+03,5.403215850899148798e+00,7.922541636198632276e+00
1.630000000000000000e+03,5.399035208743832470e+00,7.916355584279441970e+00
1.631000000000000000e+03,5.394857865240906492e+00,7.910174499170846474e+00
1.632000000000000000e+03,5.390683817690274715e+00,7.903998376677090043e+00
1.633000000000000000e+03,5.386513063394200884e+00,7.897827212606202352e+00
1.634000000000000000e+03,5.382345599657297974e+00,7.891661002770121058e+00
1.635000000000000000e+03,5.378181423786524640e+00,7.885499742984546145e+00
1.636000000000000000e+03,5.374020533091198537e+00,7.879343429069110449e+00
1.637000000000000000e+03,5.369862924882981225e+00,7.873192056847223341e+00
1.638000000000000000e+03,5.365708596475873726e+00,7.867045622146187966e+00
1.639000000000000000e+03,5.361557545186236062e+00,7.860904120797060912e+00
1.640000000000000000e+03,5.357409768332757061e+00,7.854767548634826291e+00
1.641000000000000000e+03,5.353265263236474780e+00,7.848635901498189682e+00
