t_s,T20_C,T30_C
1.436000000000000000e+03,5.686032480181244075e+00,3.575896393677405083e+00
1.437000000000000000e+03,5.681284710212016975e+00,3.571095069268714894e+00
1.438000000000000000e+03,5.676540987629900670e+00,3.566300285819340221e+00
1.439000000000000000e+03,5.671801308848154477e+00,3.561512033386740939e+00
1.440000000000000000e+03,5.667065670283748524e+00,3.556730303601950638e+00
1.441000000000000000e+03,5.662334068356735806e+00,3.551955086564789088e+00
1.442000000000000000e+03,5.657606499490845486e+00,3.547186373917900593e+00
1.443000000000000000e+03,5.652882960112956212e+00,3.542424155803090002e+00
1.444000000000000000e+03,5.648163446653542863e+00,3.537668423874828161e+00
1.445000000000000000e+03,5.643447955546240458e+00,3.532919168316540404e+00
1.446000000000000000e+03,5.638736483228311336e+00,3.528176380794688427e+00
1.447000000000000000e+03,5.634029026140135343e+00,3.523440051533966333e+00
1.448000000000000000e+03,5.629325580725723199e+00,3.518710172213041609e+00
1.449000000000000000e+03,5.624626143432196912e+00,3.513986733097484993e+00
1.450000000000000000e+03,5.619930710710280053e+00,3.509269725878389590e+00
1.451000000000000000e+03,5.615239279013820806e+00,3.504559140861822630e+00
1.452000000000000000e+03,5.610551844800253818e+00,3.499854969751469813e+00
1.453000000000000000e+03,5.605868404530180982e+00,3.495157202893580006e+00
1.454000000000000000e+03,5.601188954667703612e+00,3.490465832004606916e+00
1.455000000000000000e+03,5.596513491680122243e+00,3.485780847470622668e+00
1.456000000000000000e+03,5.591842012038257259e+00,3.481102241021033716e+00
1.457000000000000000e+03,5.587174512216053657e+00,3.476430003081386833e+00
1.458000000000000000e+03,5.582510988691026022e+00,3.471764125394219302e+00
1.459000000000000000e+03,5.577851437943780688e+00,3.467104598424217254e+00
1.460000000000000000e+03,5.573195856458504238e+00,3.462451413927194466e+00
1.461000000000000000e+03,5.568544240722445693e+00,3.457804562406656235e+00
1.462000000000000000e+03,5.563896587226431656e+00,3.453164035631874906e+00
1.463000000000000000e+03,5.559252892464378704e+00,3.448529824144824119e+00
1.464000000000000000e+03,5.554613152933732145e+00,3.443901919728425742e+00
1.465000000000000000e+03,5.549977365135034368e+00,3.439280312962766484e+00
1.466000000000000000e+03,5.545345525572352052e+00,3.434664995644566510e+00
1.467000000000000000e+03,5.540717630752844514e+00,3.430055958391752036e+00
1.468000000000000000e+03,5.536093677187173157e+00,3.425453193014955655e+00
1.469000000000000000e+03,5.531473661389110674e+00,3.420856690169622460e+00
1.470000000000000000e+03,5.526857579875896320e+00,3.416266441680479105e+00
1.471000000000000000e+03,5.522245429167881525e+00,3.411682438240166260e+00
1.472000000000000000e+03,5.517637205788910038e+00,3.407104671687638753e+00
1.473000000000000000e+03,5.513032906265895150e+00,3.402533132752447287e+00
1.474000000000000000e+03,5.508432527129234479e+00,3.397967813287886774e+00
1.475000000000000000e+03,5.503836064912408510e+00,3.393408704060119518e+00
1.476000000000000000e+03,5.499243516152351852e+00,3.388855796936963038e+00
1.477000000000000000e+03,5.494654877389108627e+00,3.384309082720848849e+00
1.478000000000000000e+03,5.490070145166123794e+00,3.379768553294256961e+00
1.479000000000000000e+03,5.485489316030004225e+00,3.375234199495620757e+00
1.480000000000000000e+03,5.480912386530714109e+00,3.370706013222169339e+00
1.481000000000000000e+03,5.476339353221346684e+00,3.366183985348069285e+00
1.482000000000000000e+03,5.471770212658398691e+00,3.361668107785445780e+00
1.483000000000000000e+03,5.467204961401471941e+00,3.357158371443903278e+00
1.484000000000000000e+03,5.462643596013537994e+00,3.352654768250567852e+00
1.485000000000000000e+03,5.458086113060710787e+00,3.348157289150211380e+00
1.486000000000000000e+03,5.453532509112426929e+00,3.343665926085094053e+00
1.487000000000000000e+03,5.448982780741283172e+00,3.339180670034864740e+00
1.488000000000000000e+03,5.444436924523191834e+00,3.334701512957024327e+00
1.489000000000000000e+03,5.439894937037205835e+00,3.330228445865849540e+00
1.490000000000000000e+03,5.435356814865686559e+00,3.325761460734173003e+00
1.491000000000000000e+03,5.430822554594137763e+00,3.321300548610635950e+00
1.492000000000000000e+03,5.426292152811364566e+00,3.316845701483541742e+00
1.493000000000000000e+03,5.421765606109307356e+00,3.312396910435583486e+00
1.494000000000000000e+03,5.417242911083219425e+00,3.307954167470652962e+00
1.495000000000000000e+03,5.412724064331436047e+00,3.303517463705265556e+00
1.496000000000000000e+03,5.408209062455623162e+00,3.299086791158981402e+00
1.497000000000000000e+03,5.403697902060541125e+00,3.294662140981870824e+00
1.498000000000000000e+03,5.399190579754244546e+00,3.290243505209275110e+00
1.499000000000000000e+03,5.394687092147908203e+00,3.285830875024576159e+00
1.500000000000000000e+03,5.390187435855975373e+00,3.281424242478963027e+00
1.501000000000000000e+03,5.385691607495976641e+00,3.277023598788894265e+00
1.502000000000000000e+03,5.381199603688751942e+00,3.272628936021526158e+00
1.503000000000000000e+03,5.376711421058182339e+00,3.268240245426122126e+00
1.504000000000000000e+03,5.372227056231476006e+00,3.263857519085888725e+00
1.505000000000000000e+03,5.367746505838904447e+00,3.259480748282661100e+00
1.506000000000000000e+03,5.363269766513977466e+00,3.255109925115772462e+00
1.507000000000000000e+03,5.358796834893324146e+00,3.250745040899407190e+00
1.508000000000000000e+03,5.354327707616794108e+00,3.246386087749113525e+00
1.509000000000000000e+03,5.349862381327344707e+00,3.242033057011184827e+00
1.510000000000000000e+03,5.345400852671139624e+00,3.237685940817448316e+00
1.511000000000000000e+03,5.340943118297460046e+00,3.233344730546082069e+00
1.512000000000000000e+03,5.336489174858789930e+00,3.229009418345281990e+00
1.513000000000000000e+03,5.332039019010681891e+00,3.224679995624859519e+00
1.514000000000000000e+03,5.327592647411935722e+00,3.220356454549474723e+00
1.515000000000000000e+03,5.323150056724410994e+00,3.216038786560353024e+00
1.516000000000000000e+03,5.318711243613154060e+00,3.211726983838681715e+00
1.517000000000000000e+03,5.314276204746324339e+00,3.207421037856879042e+00
1.518000000000000000e+03,5.309844936795230730e+00,3.203120940812712814e+00
1.519000000000000000e+03,5.305417436434308520e+00,3.198826684209589377e+00
1.520000000000000000e+03,5.300993700341112280e+00,3.194538260261953422e+00
1.521000000000000000e+03,5.296573725196314975e+00,3.190255660503937385e+00
1.522000000000000000e+03,5.292157507683727502e+00,3.185978877166719681e+00
1.523000000000000000e+03,5.287745044490272051e+00,3.181707901814995854e+00
1.524000000000000000e+03,5.283336332305981209e+00,3.177442726696714015e+00
1.525000000000000000e+03,5.278931367823986420e+00,3.173183343406924539e+00
1.526000000000000000e+03,5.274530147740557950e+00,3.168929744210413180e+00
1.527000000000000000e+03,5.270132668755039163e+00,3.164681920732366205e+00
1.528000000000000000e+03,5.265738927569889150e+00,3.160439865254466962e+00
1.529000000000000000e+03,5.261348920890664083e+00,3.156203569431826228e+00
1.530000000000000000e+03,5.256962645426010994e+00,3.151973025563093778e+00
1.531000000000000000e+03,5.252580097887682875e+00,3.147748225333109939e+00
1.532000000000000000e+03,5.248201274990491605e+00,3.143529161057541543e+00
1.533000000000000000e+03,5.243826173452348804e+00,3.139315824450739534e+00
1.534000000000000000e+03,5.239454789994270278e+00,3.135108207845447748e+00
1.535000000000000000e+03,5.235087121340304073e+00,3.130906302985347001e+00
1.536000000000000000e+03,5.230723164217613075e+00,3.126710102220281673e+00
1.537000000000000000e+03,5.226362915356412842e+00,3.122519597323083929e+00
1.538000000000000000e+03,5.222006371490008014e+00,3.118334780660756422e+00
1.539000000000000000e+03,5.217653529354727482e+00,3.114155644035083714e+00
1.540000000000000000e+03,5.213304385690020304e+00,3.109982179830254712e+00
1.541000000000000000e+03,5.208958937238340248e+00,3.105814379876817632e+00
1.542000000000000000e+03,5.204617180745232830e+00,3.101652236576223132e+00
1.543000000000000000e+03,5.200279112959274919e+00,3.097495741787577472e+00
1.544000000000000000e+03,5.195944730632121811e+00,3.093344887929634357e+00
1.545000000000000000e+03,5.191614030518429956e+00,3.089199666889876905e+00
1.546000000000000000e+03,5.187287009375950220e+00,3.085060071104382295e+00
