source,system,domain,protocol,protocol_value,x_name,x,obs_name,obs
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.62,distance_to_equilibrium_D,1.23591270446777
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.63,distance_to_equilibrium_D,1.22797622680664
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.64,distance_to_equilibrium_D,1.22242069244384
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.65,distance_to_equilibrium_D,1.21765866279602
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.66,distance_to_equilibrium_D,1.21765880584716
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.67,distance_to_equilibrium_D,1.2196427822113
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.68,distance_to_equilibrium_D,1.20892853736877
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.69,distance_to_equilibrium_D,1.20654759407043
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.7,distance_to_equilibrium_D,1.20575394630432
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.71,distance_to_equilibrium_D,1.19940476417541
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.72,distance_to_equilibrium_D,1.19265875816345
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.73,distance_to_equilibrium_D,1.18630950450897
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.74,distance_to_equilibrium_D,1.17519843578338
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.75,distance_to_equilibrium_D,1.17876985073089
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.76,distance_to_equilibrium_D,1.17599208354949
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,0.77,distance_to_equilibrium_D,1.16845235824584
