Tiempo t / h;Temperatura &J_2 / °C;Temperatura &J_1 / °C
18,8570633333583;35,1152466469516;1,21049770926604
18,8572022222471;35,0706820997724;1,22503212049995
18,857341111136;35,0682987026839;1,16758406506844
18,8574800000249;35,0610962559983;1,2250060817226
18,857618611136;35,0465448704942;1,21785702583028
18,8577577778027;35,0197113720537;1,23460261337306
18,8578966666916;35,0146911809463;1,22097446088802
18,8580352778027;34,9809496128603;1,12853378336121
18,8581744444694;34,9919765304518;1,14438924692746
18,8583130555805;34,976923859445;1,12085447885016
18,8584519444694;34,9705275179855;1,06132170302084
18,858591111136;34,9393977182551;1,08352905067562
18,8587300000249;34,9456733313869;1,02639012484215
18,858868611136;34,8930151865467;1,05034558807648
18,8590077778027;34,9057524743548;1,04379923722749
18,8591463889138;34,9013766753225;1,01591341846279
18,8592852778027;34,8808842759861;0,992025342751447
18,8594244444694;34,8547097918512;1,0451130697501
18,8595633333583;34,8506702602575;1,10683987603355
18,8597022222471;34,8676356439728;1,0987336330106
18,859841111136;34,8317004287878;1,1533589234655
18,8599800000249;34,8198378530341;1,1253630585212
18,8601188889138;34,7663598474052;1,10069854730935
18,8602577778027;34,7589959262363;1,07268522955476
18,8603966666916;34,7647714970406;1,09286183935663
18,8605355555805;34,7418958533953;1,08345651250823
18,8606744444694;34,7532588070211;1,10241537042253
18,8608133333583;34,7338710614218;1,06265995387963
18,8609522222471;34,6887130686194;1,11121108855008
18,8610913889138;34,6720179788651;1,06238242648513
18,8612300000249;34,6776321951338;1,08896080814895
18,8613688889138;34,6407985878161;1,07426964272469
18,8615077778027;34,6459424883396;1,08978075085628
18,8616466666916;34,6424142552017;1,0402614279447
18,8617855555805;34,6239284157838;1,09871414440735
18,8619244444694;34,6200112498848;1,05114804939484
18,8620633333583;34,5952636788066;1,11450241080871
18,8622022222471;34,600500991676;1,10497632017774
18,8623408333583;34,5760508405925;1,19577019693833
18,8624800000249;34,5563927286594;1,09411566510926
18,8626188889138;34,5444914754901;1,1310054429735
18,8627575000249;34,5668556914837;1,14951826842417
18,8628966666916;34,5295593147891;1,14277914340366
18,8630355555805;34,5295730300583;1,10089113812455
18,8631744444694;34,4965459861379;1,03042191196351
18,8633133333583;34,4698329142648;1,05586712951595
18,8634522222471;34,4548620867239;1,05547496283265
18,8635908333583;34,4426225527962;1,04340623958296
18,8637297222471;34,4555890335056;1,01764444777626
18,8638688889138;34,4463516658114;1,03829448843766
18,8640075000249;34,4267222994006;0,999269592120754
18,8641466666916;34,3974372772656;0,958375155254487
18,8642855555805;34,383111794517;0,968798506807616
18,8644244444694;34,3738349971856;0,953793992141982
18,8645633333583;34,3730281247027;0,939196569997335
18,8647022222471;34,3130724655346;0,936717560900206
18,8648408333583;34,3517547121397;0,999705094700147
18,8649797222471;34,2925804203958;1,04027875120525
18,865118611136;34,3182689374096;1,03906097081907
18,8652575000249;34,2796194592249;1,06455943004005
18,8653963889138;34,2579143495368;1,04903860422095
