t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.3525,0.6294534471,0.5671123124,0.008008495936,0.2576384743,0.212642932,0.0001130277369
0.355,0.6294949362,0.5670297127,0.008349747165,0.2575826835,0.212631837,0.000108682114
0.3575,0.6294280083,0.5670058066,0.007481543159,0.2575357776,0.2125589714,0.0001303971348
0.36,0.6293642539,0.5669803157,0.008428021334,0.2574969155,0.2125284083,0.0001110567838
0.3625,0.6293270068,0.5668877293,0.007670872709,0.2574573406,0.2124843503,9.427655755e-05
0.365,0.6292790303,0.5669011123,0.009838278228,0.2574314639,0.212481106,0.0001299167684
0.3675,0.6293054709,0.566851464,0.007141819333,0.2574345194,0.2124422112,9.194901485e-05
0.37,0.6292656171,0.5667093442,0.008660036397,0.257403992,0.2124066232,0.0001037906133
0.3725,0.6291842474,0.5666710303,0.007671886651,0.2573193761,0.21242194,0.0001062416167
0.375,0.6291622338,0.5666138777,0.007662133534,0.257321238,0.2123828121,8.826498821e-05
0.3775,0.6290404001,0.5665707566,0.00975502523,0.2572698878,0.2123155531,0.000127488873
0.38,0.6290202474,0.5665695741,0.008249684896,0.2572335659,0.2123135002,0.0001307706297
0.3825,0.6289374709,0.5665034131,0.008741207031,0.2571947796,0.212265834,0.0001088358607
0.385,0.6288874514,0.566449109,0.008717214574,0.2571750819,0.2122388526,0.0001078628367
0.3875,0.6288391918,0.5664516405,0.008576720023,0.2570937529,0.2122120728,0.0001163601626
0.39,0.6288062675,0.5663610374,0.007093001605,0.2570605187,0.2121691654,9.426868974e-05
0.3925,0.6287394672,0.5662694969,0.006911804382,0.2570394074,0.2121186286,0.000105259598
0.395,0.6287230238,0.5662429972,0.008052534765,0.2570167666,0.2120503842,0.0001009378349
0.3975,0.6287254504,0.5661781798,0.007230131822,0.2569948104,0.2120334489,9.941279366e-05
0.4,0.6286490167,0.5661310303,0.008620036849,0.2569491506,0.2119916027,0.0001138941468
0.4025,0.6285824225,0.5660756307,0.008918942925,0.2569233465,0.2119686067,0.0001214738527
0.405,0.6285426124,0.5660337289,0.007954830916,0.2568522317,0.2119431581,0.0001172296982
0.4075,0.6284656171,0.5659944137,0.008041274609,0.2568118302,0.2119192318,9.963117147e-05
0.41,0.6283624137,0.5660165126,0.00766500634,0.2567947505,0.2119305172,8.500402575e-05
0.4125,0.6283430391,0.5659294808,0.007958930085,0.2567468778,0.2119033147,0.0001056302488
0.415,0.6282546979,0.5658928542,0.01024372005,0.2567187022,0.2118750251,0.0001392244722
0.4175,0.6282163461,0.5658572254,0.008169203803,0.256658539,0.2117916629,0.0001138331004
0.42,0.628172734,0.5658100099,0.007660750946,0.2566281772,0.2117520323,0.0001153674196
0.4225,0.6281278169,0.5657754047,0.008119085282,0.2565963066,0.2117378849,0.0001014345141
0.425,0.6281070954,0.5656897127,0.005582569226,0.256591072,0.211700764,0.0001005083329
0.4275,0.6280164415,0.5656576171,0.008247708151,0.2565357539,0.2116561762,0.0001215462905
0.43,0.6279682474,0.5656020873,0.00676495109,0.2564924458,0.2116313415,0.0001023672995
0.4325,0.6279384137,0.5655116578,0.007362643088,0.2564650156,0.2115720782,0.0001065981571
0.435,0.6279036307,0.5655212387,0.008505855655,0.256428303,0.211564102,0.0001291140168
0.4375,0.6278896508,0.5654624137,0.008768361476,0.256425909,0.2115575813,0.0001202575913
0.44,0.6278320083,0.5654264137,0.00691545987,0.2563722893,0.2115052644,9.168918753e-05
0.4425,0.6277988604,0.5653904137,0.007695118393,0.2563442698,0.2114893342,0.0001254600031
0.445,0.6277796578,0.5653975455,0.008855730332,0.2562899339,0.2114928609,0.0001020727229
0.4475,0.6277030173,0.5652784137,0.007957538483,0.2562564864,0.2114130163,0.0001049941851
0.45,0.6276610374,0.5652700452,0.008155537981,0.2562208291,0.2113931352,0.0001146719786
0.4525,0.6276002539,0.5652522062,0.007082214817,0.2561768871,0.2113708656,0.0001093853696
0.455,0.6275850167,0.5651654217,0.006767660484,0.2561224416,0.2113536323,0.0001113581766
0.4575,0.6274394845,0.5651631853,0.007333696453,0.2560841174,0.2113323315,0.0001043828549
0.46,0.6274285886,0.5650650247,0.007744885636,0.2560449888,0.211297854,0.0001096950267
0.4625,0.6274244001,0.5650629362,0.007993145695,0.2560631777,0.2112704191,0.0001061351522
0.465,0.6273359546,0.5650370374,0.007539787775,0.2560031317,0.2112238793,9.189282517e-05
