t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.115,0.6462869101,0.5960210825,0.007687089197,0.2727428284,0.2421331355,9.380719939e-05
0.1175,0.6453587419,0.5944744827,0.008023781953,0.2717302609,0.239935487,0.0001097516737
0.12,0.6446953553,0.5928310961,0.007674305977,0.27083056,0.2379856188,9.764868464e-05
0.1225,0.6438243234,0.5916093481,0.008132648451,0.269973705,0.2362745484,0.000111610382
0.125,0.6428865924,0.590222111,0.008135615789,0.2691197633,0.2347431968,0.0001115766411
0.1275,0.6420566337,0.5891870961,0.007688348783,0.2682753583,0.2331388785,8.117705964e-05
0.13,0.64128201,0.5877364908,0.008461044559,0.267456642,0.2316825438,0.0001001963593
0.1325,0.6406634035,0.586815452,0.008819134533,0.266808667,0.2304337791,0.0001085418605
0.135,0.6401208037,0.5857779606,0.007603880227,0.2662562515,0.2292540208,8.90179131e-05
0.1375,0.6394837209,0.5849584772,0.009558564085,0.2656831507,0.2282454414,0.0001333884382
0.14,0.6391321663,0.5838689296,0.007886548838,0.2651282934,0.2272333324,0.0001093838413
0.1425,0.6385142822,0.5828565389,0.008578279963,0.2646639271,0.226241342,0.0001003871702
0.145,0.6380586745,0.5819205788,0.008141532271,0.2641512639,0.2252946188,0.0001246270306
0.1475,0.6375746745,0.5812881663,0.008475280493,0.2637329431,0.2245581517,0.0001166659299
0.15,0.6373306745,0.5806494171,0.008071165961,0.2634035533,0.2237535928,0.0001104972918
0.1525,0.6368334237,0.58008201,0.009303949226,0.263045731,0.2231421519,0.0001186900509
0.155,0.6361744527,0.5793521663,0.007911386059,0.2626873635,0.2224471161,0.0001263753945
0.1575,0.6358812292,0.5787421799,0.009023918686,0.2623365078,0.221812932,0.0001082908294
0.16,0.6354192156,0.5780386413,0.007968866674,0.262040948,0.2212390603,0.0001171237488
0.1625,0.6353148035,0.5774201663,0.006816271734,0.261756429,0.2206724735,9.372473363e-05
0.165,0.6348649861,0.5770654171,0.009105676485,0.2615248583,0.2202931255,0.0001327351011
0.1675,0.6346729861,0.5766861231,0.009384045296,0.2612403218,0.2198705964,0.0001257496429
0.17,0.634338131,0.5763585045,0.009043640843,0.2610859447,0.2194775441,0.0001301957695
0.1725,0.6342004128,0.5759116757,0.009294682854,0.2608603114,0.2191288296,0.0001382873987
0.175,0.6340077295,0.5753928103,0.007749600365,0.2607183362,0.2187090186,0.0001102619007
0.1775,0.6337520803,0.5750367668,0.007742112691,0.2605511162,0.2183660279,0.0001099788319
0.18,0.6336532705,0.5745300406,0.008175933306,0.2604000767,0.2180058452,0.0001043279082
0.1825,0.6333432841,0.5742278529,0.008036277156,0.2602472382,0.2177488263,0.0001231249636
