t,T,a2
2.22,0.465270897,-0.03372779128
2.23,0.4639387111,-0.03362950686
2.24,0.4626122141,-0.033532767
2.25,0.4612913743,-0.03343754529
2.26,0.4599761599,-0.03334381578
2.27,0.4586665393,-0.03325155302
2.28,0.4573624814,-0.03316073201
2.29,0.4560639549,-0.03307132822
2.3,0.4547709292,-0.03298331757
2.31,0.4534833734,-0.03289667642
2.32,0.4522012572,-0.03281138158
2.33,0.4509245503,-0.03272741026
2.34,0.4496532226,-0.0326447401
2.35,0.4483872443,-0.03256334915
2.36,0.4471265858,-0.03248321586
2.37,0.4458712177,-0.03240431906
2.38,0.4446211106,-0.03232663798
2.39,0.4433762356,-0.03225015223
2.4,0.4421365638,-0.03217484177
2.41,0.4409020665,-0.03210068694
2.42,0.4396727152,-0.03202766843
2.43,0.4384484817,-0.03195576729
2.44,0.4372293379,-0.03188496488
2.45,0.4360152559,-0.03181524294
2.46,0.434806208,-0.03174658351
2.47,0.4336021666,-0.03167896895
2.48,0.4324031043,-0.03161238195
2.49,0.4312089941,-0.0315468055
2.5,0.430019809,-0.03148222292
2.51,0.428835522,-0.03141861778
2.52,0.4276561067,-0.031355974
2.53,0.4264815365,-0.03129427573
2.54,0.4253117852,-0.03123350745
2.55,0.4241468267,-0.03117365389
2.56,0.4229866349,-0.03111470005
2.57,0.4218311843,-0.0310566312
2.58,0.4206804491,-0.03099943289
2.59,0.4195344041,-0.0309430909
2.6,0.4183930238,-0.03088759127
2.61,0.4172562832,-0.03083292028
2.62,0.4161241575,-0.03077906447
2.63,0.4149966218,-0.03072601059
2.64,0.4138736515,-0.03067374564
2.65,0.4127552223,-0.03062225685
2.66,0.4116413098,-0.03057153166
2.67,0.4105318899,-0.03052155775
2.68,0.4094269387,-0.030472323
2.69,0.4083264324,-0.03042381549
2.7,0.4072303472,-0.03037602354
2.71,0.4061386598,-0.03032893565
2.72,0.4050513468,-0.03028254052
2.73,0.403968385,-0.03023682705
2.74,0.4028897514,-0.03019178434
