t,0.0006666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666667,0.01,0.01133333,0.01266667,0.014,0.01533333,0.01666667,0.018,0.01933333,0.02066667,0.022,0.02333333,0.02466667,0.026,0.02733333,0.02866667,0.03,0.03133333,0.03266667,0.034,0.03533333,0.03666667,0.038,0.03933333,0.04066667,0.042,0.04333333,0.04466667,0.046,0.04733333,0.04866667,0.05,0.05133333,0.05266667,0.054,0.05533333,0.05666667,0.058,0.05933333,0.06066667,0.062,0.06333333,0.06466667,0.066,0.06733333,0.06866667,0.07,0.07133333,0.07266667,0.074,0.07533333,0.07666667,0.078,0.07933333
90,14.17095,14.53648,14.91418,15.30586,15.70214,16.10307,16.50871,16.9191,17.33429,17.75435,18.17933,18.60927,19.04423,19.48426,19.92939,20.37964,20.83503,21.2955,21.76097,22.23123,22.70596,23.18465,23.66652,24.15044,24.63487,25.11777,25.59651,26.06787,26.52803,26.97267,27.39715,27.79669,28.16675,28.5033,28.80321,29.06452,29.28664,29.47044,29.61817,29.73322,29.81984,29.88272,29.92663,29.95603,29.97484,29.98631,29.99295,29.99658,29.99845,29.99935,29.99975,29.99991,29.99997,29.99999,30,30,30,30,30,30
100,12.7735,13.12356,13.48531,13.86043,14.23997,14.62396,15.01247,15.40555,15.80323,16.20559,16.61266,17.02451,17.44118,17.86273,18.2892,18.72066,19.15714,19.59867,20.04529,20.49698,20.95371,21.41539,21.88183,22.35273,22.82764,23.30586,23.78641,24.26796,24.74875,25.22653,25.69854,26.16149,26.61162,27.04484,27.45682,27.84331,28.20034,28.52453,28.81334,29.06533,29.28025,29.4591,29.60406,29.71824,29.8055,29.87003,29.91614,29.94789,29.9689,29.98223,29.99031,29.99498,29.99754,29.99886,29.99951,29.9998,29.99993,29.99998,29.99999,30
110,11.43446,11.76967,12.11611,12.47533,12.8388,13.20654,13.57861,13.95506,14.33594,14.7213,15.11119,15.50565,15.90475,16.30853,16.71705,17.13036,17.5485,17.97154,18.39951,18.83247,19.27044,19.71345,20.16148,20.61452,21.07245,21.53513,22.00229,22.47349,22.94815,23.42539,23.90408,24.38267,24.85923,25.33138,25.79626,26.25061,26.69078,27.11289,27.51299,27.88727,28.23226,28.54513,28.82384,29.06733,29.27564,29.44984,29.59204,29.70514,29.79265,29.85839,29.90626,29.93999,29.96293,29.97795,29.98741,29.99312,29.99642,29.99822,29.99917,29.99961
120,10.15149,10.47244,10.80419,11.14816,11.4962,11.84834,12.20464,12.56513,12.92988,13.29892,13.67231,14.05009,14.43232,14.81905,15.21031,15.60618,16.00669,16.41191,16.82187,17.23664,17.65626,18.08078,18.51024,18.94468,19.3841,19.82852,20.27789,20.73214,21.19111,21.65457,22.12214,22.59329,23.06727,23.54307,24.01936,24.49447,24.96632,25.43243,25.88993,26.3356,26.76594,27.17731,27.56611,27.92893,28.26275,28.5652,28.83463,29.07033,29.2725,29.44232,29.5818,29.69367,29.78114,29.84773,29.89701,29.9324,29.95702,29.97358,29.9843,29.9906
130,8.922345,9.229611,9.547251,9.876589,10.20982,10.54699,10.88815,11.23334,11.5826,11.93599,12.29354,12.65531,13.02135,13.3917,13.76641,14.14553,14.52911,14.9172,15.30986,15.70713,16.10906,16.51571,16.92713,17.34336,17.76445,18.19044,18.62136,19.05724,19.49807,19.94382,20.39442,20.84974,21.30955,21.77354,22.24122,22.71195,23.18484,23.65873,24.13217,24.60334,25.07008,25.52986,25.97981,26.4168,26.83749,27.23851,27.61655,27.96859,28.29201,28.5848,28.84567,29.07415,29.27061,29.43628,29.57309,29.68361,29.77083,29.83794,29.88793,29.92146
140,7.744852,8.038987,8.343095,8.658388,8.977417,9.300225,9.626855,9.957351,10.29176,10.63012,10.97248,11.31888,11.66937,12.02401,12.38283,12.74587,13.1132,13.48486,13.8609,14.24136,14.62631,15.01578,15.40982,15.8085,16.21186,16.61994,17.03281,17.45049,17.87304,18.30048,18.73284,19.17012,19.61228,20.05927,20.51097,20.96718,21.42762,21.89187,22.35936,22.8293,23.3007,23.77228,24.24244,24.7093,25.17061,25.62383,26.06614,26.4945,26.90577,27.29681,27.66462,28.0065,28.32018,28.60398,28.85689,29.07865,29.26975,29.43124,29.56376,29.66064
150,6.616932,6.898468,7.189592,7.49141,7.796812,8.105838,8.41853,8.734929,9.055078,9.379021,9.706799,10.03846,10.37404,10.71359,11.05716,11.40478,11.75652,12.1124,12.47249,12.83682,13.20545,13.57843,13.95579,14.33761,14.72391,15.11476,15.5102,15.91029,16.31507,16.72459,17.1389,17.55803,17.98202,18.41089,18.84464,19.28325,19.72667,20.17478,20.62743,21.08436,21.5452,22.00944,22.47641,22.94522,23.41476,23.88363,24.35016,24.81238,25.268,25.71451,26.14914,26.56898,26.97107,27.3525,27.71055,28.04282,28.34727,28.62203,28.8632,29.0501
160,5.536584,5.806032,6.084698,6.373591,6.66592,6.961724,7.261044,7.563919,7.870391,8.1805,8.494289,8.811799,9.133073,9.458154,9.787086,10.11991,10.45668,10.79742,11.1422,11.49106,11.84403,12.20117,12.56253,12.92815,13.29809,13.67238,14.05109,14.43425,14.82193,15.21416,15.611,16.0125,16.41871,16.82966,17.2454,17.66596,18.09137,18.52162,18.95671,19.39659,19.84116,20.29027,20.74371,21.20115,21.66215,22.12611,22.59225,23.0596,23.52692,23.99275,24.45532,24.91263,25.36238,25.80207,26.22902,26.64044,27.03341,27.40436,27.74533,28.02019
170,4.50188,4.759733,5.026449,5.302943,5.582732,5.865853,6.152346,6.442247,6.735598,7.032437,7.332804,7.63674,7.944286,8.255484,8.570374,8.888999,9.211402,9.537627,9.867716,10.20171,10.53967,10.88162,11.22761,11.57769,11.93192,12.29032,12.65296,13.01987,13.39112,13.76674,14.14678,14.53131,14.92035,15.31397,15.71221,16.11513,16.52275,16.93513,17.35229,17.77426,18.20105,18.63264,19.06901,19.51006,19.95567,20.40565,20.8597,21.31745,21.77836,22.24176,22.70678,23.17234,23.63713,24.0996,24.55794,25.01007,25.45349,25.88447,26.29277,26.63053
180,3.510968,3.757699,4.012952,4.277555,4.545317,4.816273,5.090462,5.367919,5.648684,5.932793,6.220286,6.511201,6.805577,7.103455,7.404874,7.709876,8.0185,8.330789,8.646785,8.96653,9.290067,9.617439,9.948691,10.28387,10.62301,10.96616,11.31338,11.6647,12.02017,12.37985,12.74377,13.11198,13.48454,13.86149,14.24288,14.62877,15.01919,15.4142,15.81384,16.21816,16.62719,17.04098,17.45954,17.8829,18.31103,18.74391,19.18147,19.6236,20.07013,20.52082,20.9753,21.43314,21.89372,22.35629,22.81988,23.28329,23.74487,24.20144,24.64204,25.01244
