t,T_mean_C,T_skin_C,T_bulk_C,enthalpy_J,mass_kg,rms_dist_to_bath_C
2080,-18.0389107,-18.0290162,-18.03925189,-7394.828008,0.09866128725,0.03941558765
2090,-18.03830919,-18.02855789,-18.03864544,-7394.584014,0.09866132116,0.03880755649
2100,-18.03771203,-18.02810344,-18.03804336,-7394.341778,0.09866135482,0.03820384361
2110,-18.03711945,-18.02765301,-18.03744588,-7394.101403,0.09866138823,0.03760470288
2120,-18.03653169,-18.02720673,-18.03685324,-7393.862979,0.09866142135,0.03701036836
2130,-18.03594896,-18.02676474,-18.03626566,-7393.626592,0.0986614542,0.03642105532
2140,-18.03537145,-18.02632714,-18.03568332,-7393.39232,0.09866148675,0.03583696124
2150,-18.03479932,-18.02589405,-18.0351064,-7393.160233,0.09866151899,0.03525826673
2160,-18.03423275,-18.02546556,-18.03453507,-7392.930397,0.09866155092,0.03468513645
2170,-18.03367188,-18.02504174,-18.03396947,-7392.70287,0.09866158253,0.03411771995
2180,-18.03311683,-18.02462269,-18.03340973,-7392.477706,0.09866161381,0.03355615248
2190,-18.03256773,-18.02420846,-18.03285598,-7392.254952,0.09866164475,0.03300055578
2200,-18.03202467,-18.02379911,-18.03230831,-7392.03465,0.09866167535,0.0324510388
2210,-18.03148776,-18.02339469,-18.03176683,-7391.816839,0.09866170561,0.03190769842
2220,-18.03095708,-18.02299524,-18.03123162,-7391.601553,0.09866173551,0.03137062011
2230,-18.03043269,-18.02260081,-18.03070275,-7391.388819,0.09866176505,0.03083987857
2240,-18.02991466,-18.02221141,-18.03018029,-7391.178664,0.09866179424,0.03031553835
2250,-18.02940304,-18.02182708,-18.02966428,-7390.971108,0.09866182306,0.0297976544
2260,-18.02889787,-18.02144782,-18.02915477,-7390.766169,0.09866185152,0.02928627264
2270,-18.02839919,-18.02107365,-18.0286518,-7390.563862,0.09866187961,0.02878143051
2280,-18.02790703,-18.02070458,-18.02815539,-7390.364197,0.09866190734,0.02828315739
2290,-18.0274214,-18.02034062,-18.02766557,-7390.167183,0.09866193469,0.02779147518
2300,-18.02694232,-18.01998174,-18.02718235,-7389.972824,0.09866196168,0.02730639866
2310,-18.0264698,-18.01962796,-18.02670573,-7389.781125,0.0986619883,0.02682793597
2320,-18.02600384,-18.01927925,-18.02623572,-7389.592084,0.09866201454,0.02635608901
2330,-18.02554442,-18.0189356,-18.02577231,-7389.4057,0.09866204042,0.02589085382
2340,-18.02509154,-18.018597,-18.02531549,-7389.221968,0.09866206592,0.02543222095
2350,-18.02464519,-18.01826343,-18.02486525,-7389.040883,0.09866209106,0.02498017581
2360,-18.02420534,-18.01793485,-18.02442157,-7388.862435,0.09866211583,0.02453469901
2370,-18.02377197,-18.01761124,-18.02398441,-7388.686615,0.09866214024,0.02409576669
2380,-18.02334505,-18.01729258,-18.02355376,-7388.513412,0.09866216428,0.02366335077
2390,-18.02292455,-18.01697882,-18.02312958,-7388.342812,0.09866218796,0.02323741931
2400,-18.02251043,-18.01666994,-18.02271183,-7388.1748,0.09866221128,0.02281793672
