t,0.0006666667,0.002,0.003333333,0.004666667,0.006,0.007333333,0.008666667,0.01,0.01133333,0.01266667,0.014,0.01533333,0.01666667,0.018,0.01933333,0.02066667,0.022,0.02333333,0.02466667,0.026,0.02733333,0.02866667,0.03,0.03133333,0.03266667,0.034,0.03533333,0.03666667,0.038,0.03933333,0.04066667,0.042,0.04333333,0.04466667,0.046,0.04733333,0.04866667,0.05,0.05133333,0.05266667,0.054,0.05533333,0.05666667,0.058,0.05933333,0.06066667,0.062,0.06333333,0.06466667,0.066,0.06733333,0.06866667,0.07,0.07133333,0.07266667,0.074,0.07533333,0.07666667,0.078,0.07933333
190,30.95551,31.50575,32.07738,32.67076,33.2711,33.87848,34.49299,35.11471,35.74373,36.38012,37.02398,37.6754,38.33445,39.00124,39.67585,40.35837,41.0489,41.74754,42.45437,43.16949,43.89301,44.62501,45.36561,46.1149,46.87298,47.63997,48.41595,49.20106,49.99538,50.79903,51.61212,52.43476,53.26707,54.10916,54.96115,55.82316,56.69529,57.57767,58.47041,59.37363,60.28742,61.21191,62.14716,63.09327,64.05027,65.01819,65.997,66.98662,67.98689,68.99757,70.01827,71.04847,72.08746,73.1343,74.18775,75.24612,76.30652,77.3613,78.38074,79.22687
200,28.80017,29.32697,29.87436,30.44252,31.01735,31.59894,32.18736,32.7827,33.38504,33.99445,34.61102,35.23484,35.86599,36.50456,37.15062,37.80428,38.46562,39.13473,39.81171,40.49663,41.18961,41.89073,42.60009,43.31779,44.04392,44.77859,45.52189,46.27394,47.03482,47.80466,48.58355,49.3716,50.16892,50.97562,51.79182,52.61762,53.45315,54.29851,55.15382,56.01919,56.89476,57.78062,58.67688,59.58367,60.50108,61.4292,62.3681,63.31784,64.27844,65.2499,66.23214,67.22502,68.22833,69.24173,70.26469,71.29638,72.33483,73.37345,74.38342,75.22683
210,26.73449,27.23878,27.76289,28.30681,28.85715,29.41396,29.97732,30.54732,31.12403,31.70753,32.29789,32.8952,33.49955,34.111,34.72965,35.35558,35.98888,36.62963,37.27792,37.93384,38.59748,39.26893,39.94828,40.63563,41.33106,42.03469,42.7466,43.46688,44.19565,44.933,45.67903,46.43385,47.19756,47.97026,48.75207,49.5431,50.34344,51.15322,51.97254,52.80152,53.64028,54.48893,55.34758,56.21635,57.09536,57.98471,58.88451,59.79487,60.71588,61.64761,62.59013,63.54345,64.50758,65.48246,66.46792,67.46356,68.46799,69.47539,70.45828,71.28228
220,24.75505,25.23772,25.73945,26.26012,26.78692,27.31994,27.85924,28.4049,28.957,29.5156,30.08079,30.65265,31.23124,31.81666,32.40898,33.00827,33.61464,34.22815,34.84889,35.47694,36.1124,36.75535,37.40588,38.06407,38.73003,39.40383,40.08558,40.77536,41.47327,42.17942,42.89389,43.61678,44.34821,45.08825,45.83703,46.59464,47.36119,48.13679,48.92154,49.71555,50.51894,51.33181,52.15428,52.98647,53.82848,54.68043,55.54244,56.41462,57.29709,58.18994,59.09329,60.00721,60.9318,61.86711,62.81312,63.76965,64.7356,65.70571,66.65395,67.45097
230,22.85852,23.32043,23.80069,24.29901,24.80322,25.31339,25.82959,26.35188,26.88034,27.41504,27.95606,28.50347,29.05734,29.61775,30.18477,30.7585,31.33899,31.92634,32.52062,33.12192,33.73031,34.34589,34.96873,35.59893,36.23656,36.88172,37.5345,38.19499,38.86327,39.53944,40.2236,40.91583,41.61624,42.32493,43.04198,43.7675,44.50159,45.24436,45.9959,46.75632,47.52573,48.30424,49.09195,49.88897,50.69542,51.51141,52.33705,53.17246,54.01774,54.87302,55.73841,56.61401,57.49994,58.39629,59.30311,60.22029,61.14693,62.07816,62.98936,63.75671
240,21.04171,21.48369,21.94331,22.42019,22.90272,23.39095,23.88496,24.38482,24.89059,25.40234,25.92015,26.44408,26.97421,27.51061,28.05335,28.60252,29.15817,29.7204,30.28927,30.86487,31.44728,32.03657,32.63282,33.23613,33.84657,34.46423,35.08919,35.72154,36.36136,37.00875,37.6638,38.32659,38.99722,39.67577,40.36236,41.05706,41.75998,42.47122,43.19087,43.91903,44.65581,45.40132,46.15564,46.9189,47.69119,48.47262,49.26331,50.06337,50.8729,51.69203,52.52086,53.3595,54.20808,55.06669,55.93541,56.81417,57.70216,58.59486,59.46898,60.20625
250,19.30064,19.72347,20.16329,20.61957,21.08127,21.54843,22.02114,22.49945,22.98343,23.47314,23.96865,24.47004,24.97737,25.4907,26.01012,26.53569,27.06749,27.60558,28.15005,28.70097,29.25841,29.82245,30.39317,30.97065,31.55496,32.1462,32.74443,33.34975,33.96224,34.58197,35.20905,35.84355,36.48557,37.13519,37.7925,38.45759,39.13057,39.81151,40.50052,41.1977,41.90313,42.61692,43.33917,44.06999,44.80946,45.5577,46.31481,47.0809,47.85608,48.64045,49.43412,50.23721,51.04983,51.87208,52.70405,53.54568,54.39623,55.25148,56.0894,56.79711
260,17.63326,18.03773,18.45852,18.89504,19.33675,19.7837,20.23596,20.69359,21.15665,21.6252,22.09932,22.57907,23.06451,23.55571,24.05274,24.55566,25.06456,25.57949,26.10052,26.62774,27.16122,27.70102,28.24722,28.7999,29.35913,29.925,30.49758,31.07695,31.66318,32.25637,32.8566,33.46394,34.07848,34.70032,35.32952,35.96619,36.61041,37.26228,37.92187,38.58929,39.26462,39.94797,40.63942,41.33908,42.04705,42.76341,43.48828,44.22176,44.96394,45.71494,46.47485,47.2438,48.02187,48.80919,49.60582,50.41173,51.22624,52.04537,52.84828,53.5273
270,16.0367,16.42354,16.82608,17.24364,17.66616,18.09371,18.52635,18.96413,19.40712,19.85537,20.30896,20.76794,21.23237,21.70232,22.17786,22.65906,23.14597,23.63866,24.13721,24.64169,25.15216,25.66869,26.19136,26.72023,27.25539,27.79691,28.34486,28.89931,29.46035,30.02806,30.6025,31.18377,31.77195,32.3671,32.96933,33.57871,34.19533,34.81927,35.45062,36.08947,36.73591,37.39003,38.05192,38.72167,39.39938,40.08515,40.77906,41.48123,42.19174,42.91069,43.6382,44.37435,45.11926,45.87303,46.63573,47.40732,48.18719,48.97159,49.7408,50.39211
280,14.50815,14.87809,15.26311,15.66248,16.0666,16.47554,16.88935,17.30809,17.73182,18.16059,18.59447,19.03352,19.4778,19.92737,20.38229,20.84262,21.30844,21.7798,22.25677,22.73942,23.22781,23.72201,24.22209,24.72812,25.24017,25.75832,26.28262,26.81317,27.35003,27.89327,28.44297,28.99921,29.56207,30.13163,30.70795,31.29114,31.88125,32.47839,33.08263,33.69406,34.31276,34.93882,35.57233,36.21338,36.86205,37.51844,38.18264,38.85475,39.53485,40.22305,40.91944,41.62413,42.3372,43.05876,43.78888,44.52753,45.27413,46.02518,46.76197,47.38655
