,time,th,enta,entaq,P_AQ,EA,EAQ
35,5.0,1.4,2.875846753666667,2.957210848244445,0.1065023352666582,-1.911488349888496,-2.0205723125686346
36,6.0,0.4,2.9204933463318286,2.9397600097629795,0.025566709031709236,-1.972522062830076,-1.9984224086525384
37,6.0,0.6,2.921977920927602,2.9523535294343892,0.04048312099867068,-1.9736639412492516,-2.014713131332543
38,6.0,0.8,2.924588605068337,2.9621732647608203,0.05034053313053903,-1.9764631912854587,-2.0275479008073747
39,6.0,1.0,2.929163257660985,2.9691823908333332,0.05385631568094325,-1.982295791230463,-2.0369487007466525
40,6.0,1.2,2.931187863912063,2.9727894938556934,0.056227211546948,-1.9847760464258433,-2.0418501976351644
41,6.0,1.4,2.9328100021046772,2.9747209989977725,0.0567379003484235,-1.986906332418541,-2.044520121931668
42,7.0,0.4,2.9503301767832957,2.960519565485327,0.01376042577549865,-2.012665749085693,-2.026566587831763
43,7.0,0.6,2.9531974799886878,2.9690381827941175,0.02148231750133962,-2.015842999033205,-2.0375503989529444
44,7.0,0.8,2.956682547814645,2.9759871121510297,0.02631225802204186,-2.020085335495677,-2.046652660704192
45,7.0,1.0,2.9601711451325756,2.9809197501420455,0.028388019937870212,-2.024529825588534,-2.053177329223026
46,7.0,1.2,2.961471299470124,2.983407049334837,0.030108239993029126,-2.026123978360114,-2.0565114060463716
47,7.0,1.4,2.962540976375839,2.9848123661744963,0.03063605937473597,-2.027504916515524,-2.058426299282308
48,8.0,0.4,2.9670912803724607,2.972340239514673,0.007166077357360547,-2.035347060561124,-2.0425678624769614
49,8.0,0.6,2.9707449220588233,2.9788182865497737,0.01106552265480563,-2.039785877447537,-2.050933333028641
50,8.0,0.8,2.9741921338691157,2.984092323834673,0.013638085723138288,-2.0440631589711784,-2.057795535142297
51,8.0,1.0,2.977076733030303,2.987810536486742,0.014838705474448226,-2.0477812433330236,-2.0627121495393586
52,8.0,1.2,2.9779627772604287,2.9896024685343856,0.0161297709179167,-2.0488579322603138,-2.0650895352434295
53,8.0,1.4,2.9784970960089683,2.9904548773318385,0.01657784616958603,-2.0495345287484543,-2.0662171977593777
54,9.0,0.4,2.976871978893905,2.9796461144808126,0.003812883275437251,-2.048615815747744,-2.052445695599242
55,9.0,0.6,2.980512056357466,2.9847168017307695,0.0058011136336873015,-2.0531335072492682,-2.05896024427983
56,9.0,0.8,2.983793410034562,2.9888839465668204,0.007049938825390674,-2.0572891906565696,-2.0643670886997154
57,9.0,1.0,2.98623251875947,2.9918397867045456,0.007783867565344194,-2.0604516845800016,-2.068262843092071
58,9.0,1.2,2.987272596422122,2.993294742968397,0.008370814066904299,-2.061790955358698,-2.070191015787712
59,9.0,1.4,2.987720896573034,2.9939544398314606,0.008660516942584387,-2.0623783970278855,-2.071069045631069
60,10.0,0.4,2.9826699036764706,2.9841724093552036,0.002068460496113894,-2.05642461298342,-2.0584991540783077
61,10.0,0.6,2.9860323564705884,2.9882744816968327,0.0030941910265961637,-2.0606733612258625,-2.063776027209784
62,10.0,0.8,2.988985353133641,2.9917269990437787,0.0037956059096193777,-2.064455064505511,-2.0682595891488367
63,10.0,1.0,2.9910874339336493,2.994134889308057,0.004228176451541627,-2.067187614985421,-2.0714240237410464
64,10.0,1.2,2.991986130892655,2.9952990268361583,0.004609058020274413,-2.0683437580191697,-2.072961630404199
65,10.0,1.4,2.9923359445505615,2.9958063529101127,0.004831866883370761,-2.068795515444186,-2.0736368198355537
66,11.0,0.4,2.98632421010181,2.9871144082239818,0.0010863350685108837,-2.0613217315316588,-2.0624100867097988
67,11.0,0.6,2.98936923804077,2.990533106330691,0.0016041703212806445,-2.0651937842228683,-2.066800848639774
68,11.0,0.8,2.9920496235995366,2.9934887904050926,0.001990996127880881,-2.068655257252932,-2.0706494249354512
69,11.0,1.0,2.9939786471658767,2.9955918898009477,0.0022375204107152485,-2.071181756839916,-2.073422436928493
70,11.0,1.2,2.9948447669152545,2.996618796372881,0.0024665407567096486,-2.072313217831742,-2.0747830113548105
71,11.0,1.4,2.9951891904949384,2.997068452362205,0.002615086174397064,-2.072765679462653,-2.0753841130961033
72,12.0,0.4,2.9885767701925254,2.989020594280861,0.0006103020229951109,-2.064332641014417,-2.0649439796222495
73,12.0,0.6,2.9913805602718004,2.992026749592299,0.0008908594511227103,-2.067914903780462,-2.0688072256977845
74,12.0,0.8,2.993874379965278,2.9946712135185183,0.001101794287902235,-2.0711499870089476,-2.0722531500930548
75,12.0,1.0,2.995633778406072,2.9965410540702084,0.0012582504188357916,-2.0734623031780495,-2.074721853157543
76,12.0,1.2,2.996438915378531,2.997442113435028,0.0013938375107789551,-2.0745235133810853,-2.0759185402800586
77,12.0,1.4,2.996735808987627,2.997810399628796,0.0014941432178401494,-2.0749148289527,-2.0764101465835356
78,13.0,0.4,2.990267551166478,2.9905215577349944,0.0003500350842329305,-2.0665750086971335,-2.066925519549936
79,13.0,0.6,2.992848930328426,2.9932069349150625,0.0004942360419878229,-2.069889140881196,-2.070384003717461
80,13.0,0.8,2.9951357278587967,2.9955690737384257,0.0005997002194098224,-2.072868495630312,-2.0734687077667737
81,13.0,1.0,2.996722873206831,2.997223371005693,0.0006944470750392058,-2.0749616072994757,-2.0756565475920254
82,13.0,1.2,2.997480664892412,2.9980359053680634,0.0007716121995898214,-2.0759659450810726,-2.0767379891546316
83,13.0,1.4,2.997753004256757,2.9983490674662163,0.0008290767124803269,-2.0763262584966626,-2.07715571176634
84,14.0,0.4,2.991388707139614,2.991538226572077,0.00020574394129578075,-2.068043497937788,-2.0682494304194345
85,14.0,0.6,2.9938132422083803,2.9940176885617213,0.00028177944335133987,-2.0711747328477363,-2.071456736691129
86,14.0,0.8,2.995936742723059,2.9961842588991887,0.00034217597731806524,-2.073954804287171,-2.074297188519222
87,14.0,1.0,2.997429800703422,2.997715635285171,0.00039617430620466097,-2.075932876115336,-2.0763292326795937
88,14.0,1.2,2.9981325956122444,2.9984520686734695,0.0004435815726773387,-2.076868686602076,-2.077312419484475
89,14.0,1.4,2.9983776378603606,2.998722978738739,0.00048007199503126224,-2.0771937877005615,-2.077673997769407
90,15.0,0.4,2.9922565293643584,2.9923534122814983,0.0001331884645057048,-2.069180638320043,-2.0693139184893545
91,15.0,0.6,2.9945168729784823,2.994642619116648,0.00017301627874761856,-2.0721101737319705,-2.0722832956447244
92,15.0,0.8,2.996519215807201,2.9966667738908246,0.00020366404914317954,-2.074740177077122,-2.074943944684756
93,15.0,1.0,2.9979164317221696,2.9980860054234064,0.00023481961080553965,-2.0765980283365906,-2.076832932978146
94,15.0,1.2,2.998554584920635,2.9987470901700677,0.00026714695896792054,-2.0774509667290624,-2.07771819339359
95,15.0,1.4,2.998766366839729,2.998976426455982,0.00029193119196017296,-2.0777328150261716,-2.078024824614017
96,16.0,0.4,2.992907511056818,2.992976365181818,9.465996020693895e-05,-2.070034497534084,-2.0701292060214995
97,16.0,0.6,2.9950634865911665,2.9951491012231033,0.0001177111391040851,-2.072836777541769,-2.072954543024411
98,16.0,0.8,2.9969482877209304,2.9970461275697677,0.00013492211544703997,-2.075318042720134,-2.0754530174978547
99,16.0,1.0,2.998248661937023,2.9983591115267174,0.00015281599343947694,-2.0770515365074425,-2.0772043955004653
100,16.0,1.2,2.9988545842386363,2.9989791930454546,0.00017285642879637575,-2.0778643671645933,-2.0780372579660984
101,16.0,1.4,2.9990414939954855,2.9991777994130926,0.00018938148714684925,-2.078114022410945,-2.0783034399471227
102,17.0,0.4,2.9934258070227275,2.9934787946931816,7.283220914843996e-05,-2.07070983540631,-2.070782689070262
103,17.0,0.6,2.9954700303397512,2.9955314350169875,8.435101444649557e-05,-2.0733744184688616,-2.073458792121897
104,17.0,0.8,2.9972704013720928,2.9973374725581396,9.240416033162817e-05,-2.07575099279192,-2.0758434176755935
105,17.0,1.0,2.99849916454023,2.9985736412164754,0.00010296100290868822,-2.0773933126877306,-2.077496290693379
106,17.0,1.2,2.999075413876853,2.999159077491448,0.00011597905997994013,-2.078168961468562,-2.0782849565975745
107,17.0,1.4,2.9992460236343117,2.999337899559819,0.00012755592333842043,-2.0783975391201177,-2.078525114413838
