t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.2275,0.6171833552,0.587277979,0.009294425173,0.2482578555,0.2266026994,0.0001211258855
0.23,0.6171652008,0.5871633552,0.008488404597,0.2482054283,0.226468402,0.0001201319956
0.2325,0.6171273552,0.5870465924,0.008446663794,0.2481430707,0.2263868859,0.0001111454362
0.235,0.6169125787,0.5869627022,0.008296625961,0.2479972103,0.226328678,0.0001120711116
0.2375,0.6167389431,0.5868613416,0.008862214122,0.2479506332,0.2262357771,0.000119246837
0.24,0.6167039247,0.5867941469,0.00946543616,0.2478656,0.2261733158,0.0001304343133
0.2425,0.6166448156,0.5865367951,0.005902346955,0.2478160084,0.2260432578,8.970307795e-05
0.245,0.6164114795,0.5865585924,0.008576160625,0.2476782717,0.226011881,0.0001135171055
0.2475,0.6163545924,0.5864391476,0.008609687441,0.2476287833,0.2259659947,0.0001457349261
0.25,0.6162213416,0.5862469431,0.008940492519,0.2475878127,0.2258679991,0.0001104837915
0.2525,0.6161288156,0.5861834795,0.007823628094,0.2475194136,0.2258017052,9.460131801e-05
0.255,0.6160454084,0.586105979,0.01023263059,0.2474450211,0.2257337638,0.0001167541632
0.2575,0.6158871194,0.5859967031,0.008014212343,0.2473796671,0.2257086185,9.741453168e-05
0.26,0.6158120687,0.5859054659,0.007973378666,0.2473132667,0.2256325127,9.048851826e-05
0.2625,0.6156649651,0.5858788662,0.009177282972,0.2472432368,0.2255892075,0.0001160669022
0.265,0.6156555648,0.585778961,0.008894354621,0.2471739245,0.2255556124,0.0001032532759
0.2675,0.6155535728,0.5856964954,0.009604641697,0.2471339375,0.225485787,0.0001315165231
0.27,0.6155354795,0.5856233552,0.00936000209,0.2470648169,0.2254401137,0.0001176549864
0.2725,0.6154720213,0.5855327031,0.00880688196,0.2470297875,0.2253823016,0.0001126252041
0.275,0.6154225467,0.5854710341,0.006813894326,0.2469867246,0.2253391791,9.076695851e-05
0.2775,0.6153857678,0.5853932875,0.008386366811,0.2469311579,0.2252798603,0.000106104829
0.28,0.6153108711,0.5853727651,0.008272217006,0.2469050514,0.2252303158,0.0001197053472
0.2825,0.6152301033,0.5852494659,0.008174914764,0.2468694475,0.2251849959,0.0001128043662
0.285,0.6151509427,0.5851579333,0.008106095489,0.2468038404,0.2251328107,0.0001066227886
0.2875,0.6151030341,0.5850824175,0.00727046937,0.2467582016,0.2251004874,0.0001078479368
0.29,0.6150542338,0.5850674845,0.00759323858,0.2467269234,0.2250346163,0.0001085919474
0.2925,0.6149437486,0.5849609498,0.007949853418,0.2466540828,0.2249989831,9.540591801e-05
0.295,0.6149408828,0.5848728226,0.007915539659,0.2466656214,0.2249523334,0.0001011455802
0.2975,0.6148449291,0.5848056171,0.007296305918,0.2465851844,0.2249061047,0.0001097330285
0.3,0.6147602489,0.584777963,0.008269600009,0.2465839863,0.2248853646,0.0001098965758
0.3025,0.6146943325,0.5846500099,0.007722219113,0.2465164328,0.224804225,8.282486958e-05
0.305,0.6146320774,0.5845770167,0.008237114578,0.2464656962,0.2247818775,0.000117877587
0.3075,0.6146174709,0.5845523124,0.007242585249,0.2464499559,0.2247122003,0.0001024721843
0.31,0.6145256171,0.5844602474,0.008292981855,0.2464363971,0.2246951551,0.0001103355179
0.3125,0.6144774471,0.584381109,0.007435463353,0.2463742604,0.2246614841,0.0001171191457
0.315,0.6144224994,0.5843940845,0.007926184174,0.2463443713,0.224631356,9.420477676e-05
0.3175,0.6143695632,0.5843315831,0.008749043507,0.2463243653,0.2245791207,0.0001071040266
0.32,0.6142950303,0.584341175,0.008017483411,0.2462573482,0.2245844132,0.0001205572472
0.3225,0.6142633145,0.5843155496,0.00857409339,0.2462380091,0.2245618461,0.0001142064582
0.325,0.6141870303,0.5842427792,0.008879104611,0.2462018792,0.2245366815,0.0001057316954
0.3275,0.6141618217,0.5841917541,0.009324993038,0.2461743869,0.2245052508,0.0001320484712
0.33,0.6141204088,0.5840747131,0.009654126885,0.2461417378,0.2244696295,0.0001121109488
0.3325,0.6140772824,0.5839674845,0.009683042541,0.2460971887,0.224402668,0.0001656143986
0.335,0.6140139882,0.5839253932,0.008992891244,0.2460500186,0.2243719726,0.0001088609384
0.3375,0.6139367777,0.5838994845,0.009916211765,0.2460037941,0.2242997579,0.0001440056555
0.34,0.6139559003,0.5838495385,0.006961614362,0.2460082151,0.2242852745,7.967178037e-05
0.3425,0.6138590303,0.5837955496,0.008674085617,0.24596436,0.2242736097,9.91922053e-05
0.345,0.6138554549,0.5837626979,0.006195462539,0.2459104668,0.2242249565,9.628223971e-05
0.3475,0.6137901798,0.5837077193,0.008372336966,0.2459081684,0.2242213957,0.0001039345833
0.35,0.6136834845,0.5836345306,0.007165190345,0.2458493899,0.2241532116,0.0001012450887
0.3525,0.6136207669,0.5836410167,0.008008495936,0.2458220591,0.2241614124,0.0001130277369
0.355,0.6136162409,0.5835417127,0.008349747165,0.2457679267,0.2241428753,0.000108682114
0.3575,0.6135782675,0.5834879055,0.007481543159,0.2457213845,0.2240700902,0.0001303971348
0.36,0.6135130405,0.583497719,0.008428021334,0.2457006834,0.2240567197,0.0001110567838
0.3625,0.6134910068,0.5834117293,0.007670872709,0.2456522528,0.2240101832,9.427655755e-05
0.365,0.6134075672,0.583410417,0.009838278228,0.2456327289,0.2239909912,0.0001299167684
0.3675,0.6134448542,0.5833672564,0.007141819333,0.2456300007,0.2239642594,9.194901485e-05
0.37,0.6134009291,0.5832260322,0.008660036397,0.2456025276,0.2239285988,0.0001037906133
0.3725,0.6133229427,0.5831870303,0.007671886651,0.2455249795,0.2239349474,0.0001062416167
0.375,0.6132902338,0.583102064,0.007662133534,0.2455243635,0.2238914779,8.826498821e-05
0.3775,0.6131856171,0.5830827566,0.00975502523,0.2454773004,0.2238201321,0.000127488873
0.38,0.6131596307,0.5830655741,0.008249684896,0.2454308912,0.2238169723,0.0001307706297
0.3825,0.6130854709,0.5829900099,0.008741207031,0.2453957422,0.2237643887,0.0001088358607
0.385,0.6130428347,0.5829508498,0.008717214574,0.2453789145,0.2237364622,0.0001078628367
0.3875,0.6129764088,0.5829490438,0.008576720023,0.2453006906,0.2237079305,0.0001163601626
0.39,0.6129194845,0.5828490374,0.007093001605,0.2452603007,0.2236662579,9.426868974e-05
0.3925,0.6128408705,0.5827588016,0.006911804382,0.245236201,0.2236181179,0.000105259598
0.395,0.6128476405,0.5827562142,0.008052534765,0.2452138408,0.2235480729,0.0001009378349
0.3975,0.6128654504,0.5827055632,0.007230131822,0.2452032453,0.2235257682,9.941279366e-05
0.4,0.6127942338,0.5826310303,0.008620036849,0.2451631348,0.223492113,0.0001138941468
0.4025,0.6127024225,0.5825916307,0.008918942925,0.2451268485,0.2234645429,0.0001214738527
0.405,0.6126746124,0.5825215427,0.007954830916,0.2450623446,0.2234351407,0.0001172296982
0.4075,0.6125782338,0.582509109,0.008041274609,0.245028329,0.223419432,9.963117147e-05
0.41,0.6124864137,0.5825125126,0.00766500634,0.2450119454,0.2234166949,8.500402575e-05
0.4125,0.6124670391,0.5824367968,0.007958930085,0.2449613306,0.2233919051,0.0001056302488
0.415,0.6123833145,0.5823808542,0.01024372005,0.2449350206,0.2233693972,0.0001392244722
0.4175,0.612334445,0.5823488878,0.008169203803,0.2448759992,0.2232742145,0.0001138331004
0.42,0.6122933507,0.5823020099,0.007660750946,0.2448477172,0.2232325459,0.0001153674196
0.4225,0.6122438169,0.5822674047,0.008119085282,0.2448084348,0.2232167323,0.0001014345141
0.425,0.6122048362,0.5821874535,0.005582569226,0.2447974221,0.2231822659,0.0001005083329
0.4275,0.6121324415,0.5821376171,0.008247708151,0.2447504683,0.2231345161,0.0001215462905
0.43,0.6121002474,0.5821020873,0.00676495109,0.2447182853,0.223100501,0.0001023672995
0.4325,0.6120744137,0.5820142545,0.007362643088,0.2446895304,0.2230475239,0.0001065981571
0.435,0.6120396307,0.5820132387,0.008505855655,0.2446491709,0.223042213,0.0001291140168
0.4375,0.6120323461,0.5819504137,0.008768361476,0.2446552498,0.223028197,0.0001202575913
0.44,0.6119600083,0.5819184137,0.00691545987,0.2446000955,0.2229903209,9.168918753e-05
0.4425,0.6119508604,0.5818984137,0.007695118393,0.2445739815,0.2229602407,0.0001254600031
0.445,0.6119259991,0.5818908502,0.008855730332,0.2445171768,0.222956552,0.0001020727229
