t,D_L1,D_KL,D_e
6,0.7135293534,1.533745803,1.533745803
6.1,0.7103633189,1.513954102,1.513954102
6.2,0.7072398577,1.494454359,1.494454359
6.3,0.7041583972,1.475242225,1.475242225
6.4,0.7011183726,1.456313418,1.456313418
6.5,0.6981192268,1.437663722,1.437663722
6.6,0.69516041,1.419288985,1.419288985
6.7,0.6922413801,1.401185118,1.401185118
6.8,0.6893616019,1.383348095,1.383348095
6.9,0.6865205476,1.365773951,1.365773951
7,0.6837176966,1.348458782,1.348458782
7.1,0.6809525351,1.331398741,1.331398741
7.2,0.6782245563,1.314590044,1.314590044
7.3,0.6755332602,1.298028959,1.298028959
7.4,0.6728781536,1.281711815,1.281711815
7.5,0.6702587499,1.265634995,1.265634995
7.6,0.6676745688,1.249794935,1.249794935
7.7,0.6651251369,1.234188129,1.234188129
7.8,0.6626099868,1.21881112,1.21881112
7.9,0.6601286575,1.203660506,1.203660506
8,0.6576806943,1.188732935,1.188732935
8.1,0.6552656485,1.174025105,1.174025105
8.2,0.6528830775,1.159533765,1.159533765
8.3,0.6505325446,1.145255712,1.145255712
8.4,0.6482136189,1.131187793,1.131187793
8.5,0.6459258755,1.117326901,1.117326901
8.6,0.643668895,1.103669975,1.103669975
8.7,0.6414422638,1.090214002,1.090214002
8.8,0.6392455738,1.076956012,1.076956012
8.9,0.6370784223,1.063893081,1.063893081
9,0.6349404122,1.051022329,1.051022329
9.1,0.6328311516,1.038340918,1.038340918
9.2,0.630750254,1.025846054,1.025846054
9.3,0.6286973378,1.013534983,1.013534983
9.4,0.6266720269,1.001404994,1.001404994
9.5,0.6246739501,0.9894534156,0.9894534156
9.6,0.6227027411,0.9776776164,0.9776776164
9.7,0.6207580387,0.9660750043,0.9660750043
9.8,0.6188394863,0.9546430261,0.9546430261
9.9,0.6169467325,0.9433791665,0.9433791665
10,0.6150794303,0.9322809479,0.9322809479
10.1,0.6132372374,0.9213459294,0.9213459294
10.2,0.6114198162,0.9105717067,0.9105717067
10.3,0.6096268336,0.8999559111,0.8999559111
10.4,0.6078579609,0.8894962094,0.8894962094
10.5,0.606112874,0.879190303,0.879190303
10.6,0.6043912531,0.8690359275,0.8690359275
10.7,0.6026927825,0.859030852,0.859030852
10.8,0.601017151,0.8491728791,0.8491728791
10.9,0.5993640515,0.8394598438,0.8394598438
11,0.597733181,0.8298896133,0.8298896133
11.1,0.5961242405,0.8204600865,0.8204600865
11.2,0.5945369352,0.8111691936,0.8111691936
11.3,0.5929709742,0.8020148951,0.8020148951
11.4,0.5914260704,0.7929951822,0.7929951822
11.5,0.5899019408,0.7841080757,0.7841080757
11.6,0.5883983058,0.7753516256,0.7753516256
11.7,0.58691489,0.7667239111,0.7667239111
11.8,0.5854514215,0.7582230395,0.7582230395
11.9,0.5840076321,0.7498471463,0.7498471463
12,0.582583257,0.7415943946,0.7415943946
12.1,0.5811780354,0.7334629747,0.7334629747
12.2,0.5797917095,0.7254511035,0.7254511035
12.3,0.5784240253,0.7175570245,0.7175570245
12.4,0.5770747322,0.709779007,0.709779007
12.5,0.5757435829,0.702115346,0.702115346
12.6,0.5744303333,0.6945643615,0.6945643615
12.7,0.5731347427,0.6871243986,0.6871243986
12.8,0.5718565738,0.6797938265,0.6797938265
12.9,0.5705955923,0.6725710387,0.6725710387
13,0.5693515669,0.6654544524,0.6654544524
13.1,0.5681242698,0.6584425081,0.6584425081
13.2,0.566913476,0.6515336694,0.6515336694
13.3,0.5657189636,0.6447264223,0.6447264223
13.4,0.5645405135,0.6380192754,0.6380192754
13.5,0.56337791,0.6314107592,0.6314107592
