t,D_L1,D_KL,D_e
12.7,0.5860114934,0.6186554052,0.6186554052
12.8,0.5849464181,0.6126382881,0.6126382881
12.9,0.5838956646,0.6067096696,0.6067096696
13,0.5828590405,0.6008682509,0.6008682509
13.1,0.5818363558,0.5951127524,0.5951127524
13.2,0.5808274229,0.5894419132,0.5894419132
13.3,0.579832057,0.5838544913,0.5838544913
13.4,0.5788500756,0.5783492626,0.5783492626
13.5,0.5778812988,0.5729250211,0.5729250211
13.6,0.576925549,0.5675805786,0.5675805786
13.7,0.575982651,0.5623147644,0.5623147644
13.8,0.575052432,0.557126425,0.557126425
13.9,0.5741347215,0.5520144237,0.5520144237
14,0.5732293514,0.5469776407,0.5469776407
14.1,0.5723361556,0.5420149725,0.5420149725
14.2,0.5714549705,0.537125332,0.537125332
14.3,0.5705856346,0.5323076479,0.5323076479
14.4,0.5697279885,0.5275608646,0.5275608646
14.5,0.568881875,0.5228839422,0.5228839422
14.6,0.5680471391,0.5182758559,0.5182758559
14.7,0.5672236278,0.5137355961,0.5137355961
14.8,0.5664111901,0.5092621679,0.5092621679
14.9,0.5656096771,0.504854591,0.504854591
15,0.564818942,0.5005118995,0.5005118995
15.1,0.5640388398,0.4962331417,0.4962331417
15.2,0.5632692274,0.49201738,0.49201738
15.3,0.562509964,0.4878636902,0.4878636902
15.4,0.5617609102,0.4837711621,0.4837711621
15.5,0.5610219289,0.4797388984,0.4797388984
15.6,0.5602928845,0.4757660154,0.4757660154
15.7,0.5595736435,0.471851642,0.471851642
15.8,0.558864074,0.4679949201,0.4679949201
15.9,0.558164046,0.4641950041,0.4641950041
16,0.5574734311,0.4604510608,0.4604510608
16.1,0.5567921029,0.4567622692,0.4567622692
16.2,0.5561199364,0.4531278204,0.4531278204
16.3,0.5554568084,0.4495469172,0.4495469172
16.4,0.5548025973,0.4460187744,0.4460187744
16.5,0.5541571834,0.4425426179,0.4425426179
16.6,0.5535204483,0.4391176852,0.4391176852
16.7,0.5528922752,0.435743225,0.435743225
16.8,0.5522725491,0.4324184969,0.4324184969
16.9,0.5516611563,0.4291427714,0.4291427714
17,0.5510579848,0.4259153296,0.4259153296
17.1,0.5504629242,0.4227354632,0.4227354632
17.2,0.5498758652,0.4196024743,0.4196024743
17.3,0.5492967003,0.4165156752,0.4165156752
17.4,0.5487253233,0.4134743883,0.4134743883
17.5,0.5481616296,0.4104779459,0.4104779459
17.6,0.5476055157,0.40752569,0.40752569
17.7,0.5470568799,0.4046169724,0.4046169724
17.8,0.5465156214,0.4017511542,0.4017511542
17.9,0.5459816412,0.398927606,0.398927606
18,0.5454548414,0.3961457076,0.3961457076
18.1,0.5449351253,0.3934048479,0.3934048479
18.2,0.5444223978,0.3907044246,0.3907044246
18.3,0.5439165649,0.3880438444,0.3880438444
18.4,0.5434175338,0.3854225226,0.3854225226
18.5,0.5429252131,0.382839883,0.382839883
18.6,0.5424395126,0.380295358,0.380295358
18.7,0.5419603432,0.3777883882,0.3777883882
18.8,0.5414876172,0.3753184223,0.3753184223
18.9,0.5410212478,0.3728849172,0.3728849172
19,0.5405611496,0.3704873379,0.3704873379
19.1,0.5401072383,0.3681251568,0.3681251568
19.2,0.5396594307,0.3657978544,0.3657978544
19.3,0.5392176446,0.3635049187,0.3635049187
19.4,0.5387817992,0.3612458452,0.3612458452
19.5,0.5383518146,0.3590201367,0.3590201367
19.6,0.5379276119,0.3568273033,0.3568273033
19.7,0.5375091134,0.3546668623,0.3546668623
19.8,0.5370962423,0.3525383382,0.3525383382
19.9,0.5366889231,0.3504412622,0.3504412622
20,0.5362870811,0.3483751725,0.3483751725
20.1,0.5358906425,0.3463396141,0.3463396141
20.2,0.5354995348,0.3443341387,0.3443341387
20.3,0.5351136863,0.3423583043,0.3423583043
20.4,0.5347330262,0.3404116755,0.3404116755
20.5,0.5343574848,0.3384938235,0.3384938235
20.6,0.5339869933,0.3366043255,0.3366043255
20.7,0.5336214837,0.334742765,0.334742765
20.8,0.533260889,0.3329087315,0.3329087315
20.9,0.5329051432,0.3311018206,0.3311018206
21,0.5325541811,0.3293216338,0.3293216338
21.1,0.5322079383,0.3275677784,0.3275677784
21.2,0.5318663514,0.3258398676,0.3258398676
21.3,0.5315293577,0.32413752,0.32413752
21.4,0.5311968956,0.32246036,0.32246036
21.5,0.530868904,0.3208080173,0.3208080173
21.6,0.5305453229,0.3191801272,0.3191801272
21.7,0.5302260929,0.3175763304,0.3175763304
21.8,0.5299111556,0.3159962725,0.3159962725
21.9,0.5296004532,0.3144396047,0.3144396047
22,0.5292939287,0.312905983,0.312905983
22.1,0.528991526,0.3113950686,0.3113950686
22.2,0.5286931897,0.3099065276,0.3099065276
22.3,0.5283988651,0.3084400311,0.3084400311
22.4,0.5281084982,0.3069952548,0.3069952548
22.5,0.5278220359,0.3055718794,0.3055718794
22.6,0.5275394256,0.30416959,0.30416959
22.7,0.5272606154,0.3027880765,0.3027880765
22.8,0.5269855544,0.3014270332,0.3014270332
22.9,0.5267141921,0.3000861592,0.3000861592
23,0.5264464788,0.2987651575,0.2987651575
23.1,0.5261823654,0.297463736,0.297463736
23.2,0.5259218034,0.2961816063,0.2961816063
23.3,0.5256647452,0.2949184847,0.2949184847
23.4,0.5254111437,0.2936740914,0.2936740914
23.5,0.5251609522,0.2924481508,0.2924481508
23.6,0.5249141251,0.2912403914,0.2912403914
23.7,0.524670617,0.2900505453,0.2900505453
23.8,0.5244303833,0.2888783491,0.2888783491
23.9,0.52419338,0.2877235428,0.2877235428
24,0.5239595637,0.2865858704,0.2865858704
24.1,0.5237288914,0.2854650796,0.2854650796
24.2,0.523501321,0.2843609218,0.2843609218
24.3,0.5232768107,0.2832731521,0.2832731521
24.4,0.5230553193,0.2822015291,0.2822015291
24.5,0.5228368063,0.281145815,0.281145815
24.6,0.5226212316,0.2801057755,0.2801057755
24.7,0.5224085557,0.2790811796,0.2790811796
24.8,0.5221987396,0.2780717998,0.2780717998
24.9,0.5219917449,0.2770774119,0.2770774119
25,0.5217875336,0.276097795,0.276097795
25.1,0.5215860683,0.2751327314,0.2751327314
25.2,0.5213873121,0.2741820067,0.2741820067
25.3,0.5211912285,0.2732454095,0.2732454095
