t,p_1,QFI,trace_distance
3.2,0.2688959548,0.1967823573,4.546656932e-05
3.22,0.2688978806,0.1967783537,4.354079207e-05
3.24,0.2688997248,0.1967743839,4.169658284e-05
3.26,0.2689014909,0.1967704522,3.993048674e-05
3.28,0.2689031822,0.1967665624,3.823919522e-05
3.3,0.2689048018,0.1967627181,3.661953988e-05
3.32,0.2689063529,0.1967589224,3.506848648e-05
3.34,0.2689078382,0.1967551781,3.358312934e-05
3.36,0.2689092607,0.1967514876,3.216068582e-05
3.38,0.2689106229,0.1967478531,3.079849118e-05
3.4,0.2689119274,0.1967442765,2.949399351e-05
3.42,0.2689131766,0.1967407593,2.824474901e-05
3.44,0.268914373,0.1967373031,2.704841738e-05
3.46,0.2689155186,0.1967339088,2.590275745e-05
3.48,0.2689166157,0.1967305776,2.480562296e-05
3.5,0.2689176664,0.19672731,2.375495859e-05
3.52,0.2689186726,0.1967241068,2.274879605e-05
3.54,0.2689196361,0.1967209683,2.178525043e-05
3.56,0.2689205589,0.1967178948,2.086251664e-05
3.58,0.2689214425,0.1967148863,1.997886607e-05
3.6,0.2689222887,0.196711943,1.913264331e-05
3.62,0.2689230991,0.1967090647,1.832226307e-05
3.64,0.2689238752,0.1967062512,1.754620722e-05
3.66,0.2689246183,0.1967035021,1.68030219e-05
3.68,0.2689253301,0.196700817,1.609131487e-05
3.7,0.2689260116,0.1966981955,1.540975282e-05
3.72,0.2689266643,0.1966956369,1.475705894e-05
3.74,0.2689272894,0.1966931407,1.41320105e-05
3.76,0.2689278879,0.1966907061,1.353343654e-05
3.78,0.2689284612,0.1966883325,1.296021572e-05
3.8,0.2689290101,0.1966860189,1.241127418e-05
3.82,0.2689295358,0.1966837647,1.188558355e-05
3.84,0.2689300392,0.1966815688,1.138215902e-05
3.86,0.2689305213,0.1966794305,1.090005748e-05
3.88,0.268930983,0.1966773487,1.043837579e-05
3.9,0.2689314251,0.1966753226,9.996249034e-06
3.92,0.2689318485,0.1966733511,9.572848957e-06
3.94,0.268932254,0.1966714332,9.167382368e-06
3.96,0.2689326423,0.196669568,8.77908968e-06
3.98,0.2689330141,0.1966677544,8.407243477e-06
4,0.2689333702,0.1966659914,8.051147152e-06
4.02,0.2689337112,0.196664278,7.710133606e-06
4.04,0.2689340378,0.1966626131,7.383563995e-06
4.06,0.2689343505,0.1966609956,7.070826531e-06
4.08,0.26893465,0.1966594247,6.771335343e-06
4.1,0.2689349368,0.1966578991,6.484529372e-06
4.12,0.2689352115,0.196656418,6.209871325e-06
4.14,0.2689354745,0.1966549802,5.946846665e-06
4.16,0.2689357264,0.1966535847,5.69496265e-06
4.18,0.2689359676,0.1966522306,5.453747408e-06
4.2,0.2689361986,0.1966509169,5.222749054e-06
4.22,0.2689364198,0.1966496425,5.001534842e-06
4.24,0.2689366317,0.1966484065,4.789690356e-06
4.26,0.2689368346,0.1966472078,4.586818732e-06
4.28,0.2689370288,0.1966460457,4.392539918e-06
4.3,0.2689372149,0.1966449191,4.206489957e-06
4.32,0.268937393,0.1966438271,4.028320309e-06
4.34,0.2689375637,0.1966427687,3.857697196e-06
4.36,0.2689377271,0.1966417432,3.694300977e-06
4.38,0.2689378835,0.1966407496,3.537825552e-06
4.4,0.2689380334,0.196639787,3.387977783e-06
4.42,0.2689381769,0.1966388546,3.244476951e-06
4.44,0.2689383143,0.1966379516,3.107054225e-06
4.46,0.2689384459,0.1966370772,2.975452161e-06
4.48,0.2689385719,0.1966362305,2.849424221e-06
4.5,0.2689386926,0.1966354108,2.728734307e-06
4.52,0.2689388082,0.1966346173,2.613156322e-06
4.54,0.2689389189,0.1966338492,2.502473746e-06
4.56,0.2689390249,0.1966331059,2.39647923e-06
4.58,0.2689391264,0.1966323866,2.294974207e-06
4.6,0.2689392236,0.1966316906,2.19776852e-06
4.62,0.2689393167,0.1966310172,2.104680066e-06
4.64,0.2689394058,0.1966303658,2.015534458e-06
4.66,0.2689394912,0.1966297357,1.930164691e-06
4.68,0.268939573,0.1966291262,1.848410838e-06
4.7,0.2689396513,0.1966285368,1.770119742e-06
4.72,0.2689397262,0.1966279669,1.695144735e-06
4.74,0.268939798,0.1966274158,1.623345362e-06
4.76,0.2689398668,0.1966268829,1.554587116e-06
4.78,0.2689399326,0.1966263678,1.488741187e-06
4.8,0.2689399957,0.1966258699,1.425684221e-06
4.82,0.2689400561,0.1966253886,1.36529809e-06
4.84,0.2689401139,0.1966249235,1.307469667e-06
4.86,0.2689401693,0.1966244739,1.252090618e-06
4.88,0.2689402223,0.1966240395,1.199057199e-06
4.9,0.2689402731,0.1966236198,1.148270058e-06
4.92,0.2689403217,0.1966232142,1.099634052e-06
4.94,0.2689403683,0.1966228224,1.053058067e-06
4.96,0.2689404129,0.1966224439,1.008454849e-06
4.98,0.2689404556,0.1966220783,9.657408414e-07
5,0.2689404965,0.1966217252,9.248360234e-07
5.02,0.2689405357,0.1966213841,8.856637656e-07
5.04,0.2689405732,0.1966210548,8.48150684e-07
5.06,0.2689406091,0.1966207367,8.122265023e-07
5.08,0.2689406435,0.1966204296,7.778239216e-07
5.1,0.2689406765,0.196620133,7.448784929e-07
5.12,0.268940708,0.1966198467,7.133284975e-07
5.14,0.2689407383,0.1966195703,6.831148303e-07
5.16,0.2689407672,0.1966193035,6.5418089e-07
5.18,0.2689407949,0.1966190459,6.264724728e-07
5.2,0.2689408214,0.1966187973,5.999376703e-07
5.22,0.2689408468,0.1966185573,5.745267731e-07
5.24,0.2689408712,0.1966183257,5.501921772e-07
5.26,0.2689408945,0.1966181022,5.268882949e-07
5.28,0.2689409168,0.1966178866,5.045714694e-07
5.3,0.2689409382,0.1966176785,4.83199893e-07
5.32,0.2689409586,0.1966174777,4.627335289e-07
5.34,0.2689409782,0.1966172839,4.43134036e-07
5.36,0.268940997,0.196617097,4.243646971e-07
5.38,0.268941015,0.1966169167,4.063903504e-07
5.4,0.2689410322,0.1966167427,3.891773231e-07
5.42,0.2689410487,0.1966165749,3.726933692e-07
5.44,0.2689410645,0.1966164131,3.569076078e-07
5.46,0.2689410796,0.1966162569,3.417904666e-07
5.48,0.2689410941,0.1966161064,3.273136254e-07
5.5,0.2689411079,0.1966159612,3.134499638e-07
5.52,0.2689411212,0.1966158211,3.001735099e-07
5.54,0.2689411339,0.1966156861,2.874593922e-07
5.56,0.2689411461,0.1966155559,2.752837924e-07
5.58,0.2689411577,0.1966154303,2.636239009e-07
5.6,0.2689411689,0.1966153092,2.524578746e-07
5.62,0.2689411796,0.1966151925,2.417647954e-07
5.64,0.2689411898,0.19661508,2.315246311e-07
5.66,0.2689411997,0.1966149715,2.217181981e-07
5.68,0.268941209,0.1966148669,2.123271254e-07
5.7,0.268941218,0.1966147661,2.033338199e-07
5.72,0.2689412266,0.1966146689,1.947214339e-07
5.74,0.2689412349,0.1966145752,1.864738332e-07
5.76,0.2689412428,0.1966144849,1.785755669e-07
5.78,0.2689412504,0.1966143979,1.710118389e-07
5.8,0.2689412576,0.196614314,1.637684793e-07
5.82,0.2689412645,0.1966142332,1.568319187e-07
5.84,0.2689412712,0.1966141553,1.501891624e-07
5.86,0.2689412775,0.1966140802,1.438277658e-07
5.88,0.2689412836,0.1966140079,1.37735812e-07
5.9,0.2689412895,0.1966139382,1.319018883e-07
5.92,0.2689412951,0.196613871,1.263150657e-07
5.94,0.2689413004,0.1966138063,1.209648781e-07
5.96,0.2689413055,0.196613744,1.158413024e-07
5.98,0.2689413104,0.1966136839,1.109347403e-07
6,0.2689413151,0.1966136261,1.062360001e-07
