t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.084000000000000000e+03,1.180925169627953908e+00,2.361850339255907816e+00,3.542775508883861502e+00,4.723700678511815632e+00
1.084500000000000000e+03,1.179283617780437110e+00,2.358567235560874220e+00,3.537850853341308888e+00,4.717134471121748440e+00
1.085000000000000000e+03,1.177644347781555689e+00,2.355288695563111379e+00,3.532933043344669510e+00,4.710577391126222757e+00
1.085500000000000000e+03,1.176007356459380926e+00,2.352014712918761852e+00,3.528022069378143222e+00,4.704029425837523704e+00
1.086000000000000000e+03,1.174372640646456967e+00,2.348745281292913933e+00,3.523117921939372010e+00,4.697490562585827867e+00
1.086500000000000000e+03,1.172740197179666710e+00,2.345480394359333420e+00,3.518220591539001685e+00,4.690960788718666841e+00
1.087000000000000000e+03,1.171110022900356373e+00,2.342220045800712747e+00,3.513330068701067344e+00,4.684440091601425493e+00
1.087500000000000000e+03,1.169482114654193383e+00,2.338964229308386766e+00,3.508446343962583480e+00,4.677928458616773533e+00
1.088000000000000000e+03,1.167856469291300048e+00,2.335712938582600096e+00,3.503569407873904140e+00,4.671425877165200191e+00
1.088500000000000000e+03,1.166233083666108561e+00,2.332466167332217122e+00,3.498699250998331234e+00,4.664932334664434244e+00
1.089000000000000000e+03,1.164611954637491564e+00,2.329223909274983129e+00,3.493835863912473805e+00,4.658447818549966257e+00
1.089500000000000000e+03,1.162993079068620483e+00,2.325986158137240967e+00,3.488979237205860784e+00,4.651972316274481933e+00
1.090000000000000000e+03,1.161376453827092980e+00,2.322752907654185961e+00,3.484129361481275389e+00,4.645505815308371922e+00
1.090500000000000000e+03,1.159762075784795288e+00,2.319524151569590575e+00,3.479286227354387417e+00,4.639048303139181151e+00
1.091000000000000000e+03,1.158149941818030548e+00,2.316299883636061097e+00,3.474449825454089869e+00,4.632599767272122193e+00
1.091500000000000000e+03,1.156540048807371823e+00,2.313080097614743647e+00,3.469620146422116580e+00,4.626160195229487293e+00
1.092000000000000000e+03,1.154932393637801757e+00,2.309864787275603515e+00,3.464797180913404606e+00,4.619729574551207030e+00
1.092500000000000000e+03,1.153326973198561145e+00,2.306653946397122290e+00,3.459980919595686100e+00,4.613307892794244580e+00
1.093000000000000000e+03,1.151723784383283489e+00,2.303447568766566977e+00,3.455171353149851132e+00,4.606895137533133955e+00
1.093500000000000000e+03,1.150122824089855778e+00,2.300245648179711555e+00,3.450368472269569331e+00,4.600491296359423110e+00
1.094000000000000000e+03,1.148524089220539723e+00,2.297048178441079447e+00,3.445572267661616728e+00,4.594096356882158894e+00
1.094500000000000000e+03,1.146927576681838090e+00,2.293855153363676180e+00,3.440782730045514715e+00,4.587710306727352361e+00
1.095000000000000000e+03,1.145333283384622369e+00,2.290666566769244739e+00,3.435999850153869328e+00,4.581333133538489477e+00
1.095500000000000000e+03,1.143741206243988229e+00,2.287482412487976458e+00,3.431223618731971126e+00,4.574964824975952915e+00
1.096000000000000000e+03,1.142151342179389184e+00,2.284302684358778368e+00,3.426454026538171327e+00,4.568605368717556736e+00
1.096500000000000000e+03,1.140563688114492047e+00,2.281127376228984094e+00,3.421691064343482136e+00,4.562254752457968188e+00
1.097000000000000000e+03,1.138978240977306600e+00,2.277956481954613199e+00,3.416934722931927126e+00,4.555912963909226399e+00
1.097500000000000000e+03,1.137394997700049259e+00,2.274789995400098519e+00,3.412184993100154884e+00,4.549579990800197038e+00
1.098000000000000000e+03,1.135813955219260984e+00,2.271627910438521969e+00,3.407441865657791169e+00,4.543255820877043938e+00
1.098500000000000000e+03,1.134235110475683372e+00,2.268470220951366745e+00,3.402705331427057445e+00,4.536940441902733490e+00
1.099000000000000000e+03,1.132658460414369239e+00,2.265316920828738478e+00,3.397975381243114157e+00,4.530633841657476957e+00
1.099500000000000000e+03,1.131084001984555609e+00,2.262168003969111219e+00,3.393252005953674821e+00,4.524336007938222437e+00
1.100000000000000000e+03,1.129511732139786062e+00,2.259023464279572124e+00,3.388535196419363071e+00,4.518046928559144249e+00
1.100500000000000000e+03,1.127941647837771511e+00,2.255883295675543021e+00,3.383824943513320527e+00,4.511766591351086042e+00
1.101000000000000000e+03,1.126373746040518098e+00,2.252747492081036196e+00,3.379121238121558957e+00,4.505494984162072392e+00
1.101500000000000000e+03,1.124808023714190641e+00,2.249616047428381282e+00,3.374424071142581916e+00,4.499232094856762565e+00
1.102000000000000000e+03,1.123244477829235199e+00,2.246488955658470399e+00,3.369733433487712482e+00,4.492977911316940798e+00
1.102500000000000000e+03,1.121683105360245181e+00,2.243366210720490361e+00,3.365049316080747754e+00,4.486732421440980723e+00
1.103000000000000000e+03,1.120123903286081912e+00,2.240247806572163825e+00,3.360371709858254619e+00,4.480495613144327649e+00
1.103500000000000000e+03,1.118566868589745855e+00,2.237133737179491710e+00,3.355700605769249112e+00,4.474267474358983421e+00
1.104000000000000000e+03,1.117011998258489847e+00,2.234023996516979693e+00,3.351035994775476645e+00,4.468047993033959386e+00
1.104500000000000000e+03,1.115459289283699196e+00,2.230918578567398391e+00,3.346377867851104249e+00,4.461837157134796783e+00
1.105000000000000000e+03,1.113908738660992048e+00,2.227817477321984097e+00,3.341726215982980808e+00,4.455634954643968193e+00
1.105500000000000000e+03,1.112360343390113693e+00,2.224720686780227386e+00,3.337081030170343077e+00,4.449441373560454771e+00
1.106000000000000000e+03,1.110814100475031152e+00,2.221628200950062304e+00,3.332442301425095010e+00,4.443256401900124608e+00
1.106500000000000000e+03,1.109270006923822161e+00,2.218540013847644321e+00,3.327810020771472033e+00,4.437080027695288642e+00
1.107000000000000000e+03,1.107728059748779970e+00,2.215456119497559939e+00,3.323184179246344794e+00,4.430912238995119878e+00
1.107500000000000000e+03,1.106188255966292777e+00,2.212376511932585554e+00,3.318564767898888324e+00,4.424753023865171109e+00
1.108000000000000000e+03,1.104650592596954750e+00,2.209301185193909500e+00,3.313951777790868025e+00,4.418602370387819001e+00
1.108500000000000000e+03,1.103115066665443011e+00,2.206230133330886023e+00,3.309345199996338138e+00,4.412460266661772046e+00
1.109000000000000000e+03,1.101581675200629773e+00,2.203163350401259546e+00,3.304745025601894426e+00,4.406326700802519092e+00
1.109500000000000000e+03,1.100050415235457768e+00,2.200100830470915536e+00,3.300151245706377967e+00,4.400201660941831072e+00
1.110000000000000000e+03,1.098521283807050608e+00,2.197042567614101216e+00,3.295563851421155377e+00,4.394085135228202432e+00
1.110500000000000000e+03,1.096994277956596875e+00,2.193988555913193750e+00,3.290982833869795510e+00,4.387977111826387500e+00
1.111000000000000000e+03,1.095469394729451817e+00,2.190938789458903635e+00,3.286408184188359449e+00,4.381877578917807270e+00
1.111500000000000000e+03,1.093946631175024109e+00,2.187893262350048218e+00,3.281839893525075436e+00,4.375786524700096436e+00
1.112000000000000000e+03,1.092425984346876877e+00,2.184851968693753754e+00,3.277277953040633740e+00,4.369703937387507509e+00
1.112500000000000000e+03,1.090907451302615350e+00,2.181814902605230699e+00,3.272722353907854487e+00,4.363629805210461399e+00
1.113000000000000000e+03,1.089391029103989439e+00,2.178782058207978878e+00,3.268173087311973202e+00,4.357564116415957756e+00
1.113500000000000000e+03,1.087876714816779611e+00,2.175753429633559222e+00,3.263630144450347714e+00,4.351506859267118443e+00
1.114000000000000000e+03,1.086364505510897471e+00,2.172729011021794943e+00,3.259093516532697077e+00,4.345458022043589885e+00
1.114500000000000000e+03,1.084854398260275632e+00,2.169708796520551264e+00,3.254563194780831559e+00,4.339417593041102528e+00
1.115000000000000000e+03,1.083346390142966298e+00,2.166692780285932596e+00,3.250039170428896895e+00,4.333385560571865192e+00
1.115500000000000000e+03,1.081840478241028247e+00,2.163680956482056494e+00,3.245521434723088294e+00,4.327361912964112989e+00
1.116000000000000000e+03,1.080336659640636743e+00,2.160673319281273486e+00,3.241009978921907564e+00,4.321346638562546971e+00
1.116500000000000000e+03,1.078834931431952970e+00,2.157669862863905941e+00,3.236504794295861576e+00,4.315339725727811881e+00
1.117000000000000000e+03,1.077335290709247495e+00,2.154670581418494990e+00,3.232005872127742041e+00,4.309341162836989980e+00
1.117500000000000000e+03,1.075837734570769699e+00,2.151675469141539399e+00,3.227513203712314205e+00,4.303350938283078797e+00
1.118000000000000000e+03,1.074342260118859249e+00,2.148684520237718498e+00,3.223026780356577969e+00,4.297369040475436996e+00
1.118500000000000000e+03,1.072848864459827301e+00,2.145697728919654601e+00,3.218546593379485454e+00,4.291395457839309202e+00
1.119000000000000000e+03,1.071357544704064413e+00,2.142715089408128826e+00,3.214072634112193683e+00,4.285430178816257651e+00
1.119500000000000000e+03,1.069868297965921755e+00,2.139736595931843510e+00,3.209604893897767930e+00,4.279473191863687020e+00
1.120000000000000000e+03,1.068381121363813469e+00,2.136762242727626937e+00,3.205143364091446845e+00,4.273524485455253874e+00
1.120500000000000000e+03,1.066896012020111639e+00,2.133792024040223279e+00,3.200688036060339581e+00,4.267584048080446557e+00
