t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
8.690000000000000000e+02,1.464082335897987086e-01,2.928164671795974172e-01,4.392247007693859118e-01,5.856329343591948344e-01
8.695000000000000000e+02,1.462047142265692212e-01,2.924094284531384424e-01,4.386141426796879017e-01,5.848188569062768849e-01
8.700000000000000000e+02,1.460014852436664068e-01,2.920029704873328136e-01,4.380044557309910047e-01,5.840059409746656272e-01
8.705000000000000000e+02,1.457985313431591212e-01,2.915970626863182424e-01,4.373955940294544931e-01,5.831941253726364849e-01
8.710000000000000000e+02,1.455958669177410680e-01,2.911917338354821361e-01,4.367876007532256466e-01,5.823834676709642721e-01
8.715000000000000000e+02,1.453934769082059209e-01,2.907869538164118417e-01,4.361804307246064383e-01,5.815739076328236834e-01
8.720000000000000000e+02,1.451913754726121830e-01,2.903827509452243660e-01,4.355741264178405459e-01,5.807655018904487321e-01
8.725000000000000000e+02,1.449895477866851579e-01,2.899790955733703157e-01,4.349686433600519209e-01,5.799581911467406314e-01
8.730000000000000000e+02,1.447880077776046992e-01,2.895760155552093984e-01,4.343640233328098788e-01,5.791520311104187968e-01
8.735000000000000000e+02,1.445867408522802933e-01,2.891734817045605865e-01,4.337602225568142345e-01,5.783469634091211731e-01
8.740000000000000000e+02,1.443857607107263963e-01,2.887715214214527926e-01,4.331572821321634237e-01,5.775430428429055851e-01
8.745000000000000000e+02,1.441850529873596187e-01,2.883701059747192375e-01,4.325551589620495463e-01,5.767402119494384749e-01
8.750000000000000000e+02,1.439846311586658878e-01,2.879692623173317756e-01,4.319538934759723503e-01,5.759385246346635512e-01
8.755000000000000000e+02,1.437844810829602693e-01,2.875689621659205386e-01,4.313534432488399517e-01,5.751379243318410772e-01
8.760000000000000000e+02,1.435846160167713048e-01,2.871692320335426096e-01,4.307538480502914879e-01,5.743384640670852193e-01
8.765000000000000000e+02,1.433850220387440366e-01,2.867700440774880732e-01,4.301550661162085731e-01,5.735400881549761465e-01
8.770000000000000000e+02,1.431857121889972273e-01,2.863714243779944546e-01,4.295571365669870190e-01,5.727428487559889092e-01
8.775000000000000000e+02,1.429866727629931500e-01,2.859733455259863000e-01,4.289600182889685698e-01,5.719466910519726000e-01
8.780000000000000000e+02,1.427879165879135659e-01,2.855758331758271318e-01,4.283637497637382552e-01,5.711516663516542636e-01
8.785000000000000000e+02,1.425894301725791902e-01,2.851788603451583803e-01,4.277682905177329076e-01,5.703577206903167607e-01
8.790000000000000000e+02,1.423912261346580443e-01,2.847824522693160887e-01,4.271736784039728008e-01,5.695649045386321774e-01
8.795000000000000000e+02,1.421932911929386645e-01,2.843865823858773290e-01,4.265798735788086660e-01,5.687731647717546579e-01
8.800000000000000000e+02,1.419956377589302043e-01,2.839912755178604087e-01,4.259869132767786226e-01,5.679825510357208174e-01
8.805000000000000000e+02,1.417982527580545771e-01,2.835965055161091541e-01,4.253947582741384181e-01,5.671930110322183083e-01
8.810000000000000000e+02,1.416011483989583208e-01,2.832022967979166417e-01,4.248034451968454306e-01,5.664045935958332834e-01
8.815000000000000000e+02,1.414043118104115759e-01,2.828086236208231519e-01,4.242129354312043077e-01,5.656172472416463037e-01
8.820000000000000000e+02,1.412077550014638749e-01,2.824155100029277499e-01,4.236232650043723069e-01,5.648310200058554997e-01
8.825000000000000000e+02,1.410114653009986174e-01,2.820229306019972348e-01,4.230343959029863043e-01,5.640458612039944697e-01
8.830000000000000000e+02,1.408154545216682152e-01,2.816309090433364304e-01,4.224463635649984283e-01,5.632618180866728608e-01
8.835000000000000000e+02,1.406197101892827650e-01,2.812394203785655300e-01,4.218591305678422998e-01,5.624788407571310600e-01
8.840000000000000000e+02,1.404242439232479267e-01,2.808484878464958534e-01,4.212727317697435581e-01,5.616969756929917068e-01
8.845000000000000000e+02,1.402290434431689992e-01,2.804580868863379983e-01,4.206871303295072195e-01,5.609161737726759966e-01
8.850000000000000000e+02,1.400341201783117384e-01,2.800682403566234768e-01,4.201023605349432088e-01,5.601364807132469537e-01
8.855000000000000000e+02,1.398394620389897813e-01,2.796789240779795627e-01,4.195183861169615724e-01,5.593578481559591253e-01
8.860000000000000000e+02,1.396450802673827596e-01,2.792901605347655192e-01,4.189352408021429497e-01,5.585803210695310383e-01
8.865000000000000000e+02,1.394509629614770763e-01,2.789019259229541525e-01,4.183528888844216809e-01,5.578038518459083051e-01
8.870000000000000000e+02,1.392571211793662833e-01,2.785142423587325666e-01,4.177713635380992940e-01,5.570284847174651333e-01
8.875000000000000000e+02,1.390635432037337083e-01,2.781270864074674165e-01,4.171906296111957957e-01,5.562541728149348330e-01
8.880000000000000000e+02,1.388702399115389063e-01,2.777404798230778127e-01,4.166107197346144986e-01,5.554809596461556254e-01
8.885000000000000000e+02,1.386771997672266998e-01,2.773543995344533997e-01,4.160315993016672209e-01,5.547087990689067993e-01
8.890000000000000000e+02,1.384844334695203294e-01,2.769688669390406588e-01,4.154533004085481096e-01,5.539377338780813176e-01
8.895000000000000000e+02,1.382919296617426408e-01,2.765838593234852816e-01,4.148757889852081604e-01,5.531677186469705632e-01
8.900000000000000000e+02,1.380996988672458237e-01,2.761993977344916473e-01,4.142990966017228160e-01,5.523987954689832947e-01
8.905000000000000000e+02,1.379077299053828032e-01,2.758154598107656064e-01,4.137231897161282035e-01,5.516309196215312127e-01
8.910000000000000000e+02,1.377160331269520199e-01,2.754320662539040399e-01,4.131480993808436253e-01,5.508641325078080797e-01
8.915000000000000000e+02,1.375245975245333874e-01,2.750491950490667747e-01,4.125737925735917244e-01,5.500983900981335495e-01
8.920000000000000000e+02,1.373334332791447121e-01,2.746668665582894242e-01,4.120002998374205916e-01,5.493337331165788484e-01
8.925000000000000000e+02,1.371425295538371003e-01,2.742850591076742006e-01,4.114275886615077482e-01,5.485701182153484012e-01
8.930000000000000000e+02,1.369518963625722119e-01,2.739037927251444238e-01,4.108556890877084200e-01,5.478075854502888475e-01
8.935000000000000000e+02,1.367615230361747258e-01,2.735230460723494517e-01,4.102845691084997526e-01,5.470460921446989033e-01
8.940000000000000000e+02,1.365714194242186874e-01,2.731428388484373748e-01,4.097142582726389648e-01,5.462856776968747496e-01
8.945000000000000000e+02,1.363815750226384793e-01,2.727631500452769586e-01,4.091447250679038916e-01,5.455263000905539172e-01
8.950000000000000000e+02,1.361919995192748534e-01,2.723839990385497067e-01,4.085759985578159004e-01,5.447679980770994135e-01
8.955000000000000000e+02,1.360026825725297872e-01,2.720053651450595744e-01,4.080080477175949127e-01,5.440107302901191488e-01
8.960000000000000000e+02,1.358136337111053304e-01,2.716272674222106609e-01,4.074409011333131048e-01,5.432545348444213218e-01
8.965000000000000000e+02,1.356248427533039980e-01,2.712496855066079959e-01,4.068745282599133262e-01,5.424993710132159919e-01
8.970000000000000000e+02,1.354363190712339904e-01,2.708726381424679808e-01,4.063089572137092986e-01,5.417452762849359615e-01
8.975000000000000000e+02,1.352480526405692718e-01,2.704961052811385436e-01,4.057441579217107019e-01,5.409922105622770871e-01
8.980000000000000000e+02,1.350600526793359624e-01,2.701201053586719247e-01,4.051801580380054446e-01,5.402402107173438495e-01
8.985000000000000000e+02,1.348723093180603794e-01,2.697446186361207587e-01,4.046169279541942387e-01,5.394892372722415175e-01
8.990000000000000000e+02,1.346848316231701315e-01,2.693696632463402629e-01,4.040544948695332650e-01,5.387393264926805259e-01
8.995000000000000000e+02,1.344976098776033968e-01,2.689952197552067936e-01,4.034928296328192943e-01,5.379904395104135872e-01
9.000000000000000000e+02,1.343106529986175524e-01,2.686213059972351047e-01,4.029319589958406667e-01,5.372426119944702094e-01
9.005000000000000000e+02,1.341239514191172599e-01,2.682479028382345199e-01,4.023718542573533341e-01,5.364958056764690397e-01
9.010000000000000000e+02,1.339375139095975165e-01,2.678750278191950329e-01,4.018125417287921053e-01,5.357500556383900658e-01
9.015000000000000000e+02,1.337513310505709097e-01,2.675026621011418193e-01,4.012539931516991842e-01,5.350053242022836386e-01
9.020000000000000000e+02,1.335654114680986382e-01,2.671308229361972764e-01,4.006962344042905855e-01,5.342616458723945527e-01
9.025000000000000000e+02,1.333797458879646403e-01,2.667594917759292805e-01,4.001392376638888138e-01,5.335189835518585610e-01
9.030000000000000000e+02,1.331943427941280067e-01,2.663886855882560134e-01,3.995830283823629259e-01,5.327773711765120268e-01
9.035000000000000000e+02,1.330091930553178869e-01,2.660183861106357739e-01,3.990275791659421145e-01,5.320367722212715478e-01
9.040000000000000000e+02,1.328243050156792116e-01,2.656486100313584231e-01,3.984729150470149861e-01,5.312972200627168462e-01
9.045000000000000000e+02,1.326396696846361412e-01,2.652793393692722823e-01,3.979190090538864411e-01,5.305586787385445646e-01
9.050000000000000000e+02,1.324552952687465535e-01,2.649105905374931069e-01,3.973658858062307786e-01,5.298211810749862138e-01
9.055000000000000000e+02,1.322711729158922989e-01,2.645423458317845977e-01,3.968135187476553583e-01,5.290846916635691954e-01
9.060000000000000000e+02,1.320873106972684230e-01,2.641746213945368460e-01,3.962619320917850629e-01,5.283492427890736920e-01
9.065000000000000000e+02,1.319036998970033459e-01,2.638073997940066917e-01,3.957110996909865008e-01,5.276147995880133834e-01
9.070000000000000000e+02,1.317203484531128677e-01,2.634406969062257353e-01,3.951610453593144001e-01,5.268813938124514706e-01
9.075000000000000000e+02,1.315372477838208098e-01,2.630744955676416197e-01,3.946117433514491069e-01,5.261489911352832394e-01
9.080000000000000000e+02,1.313544056960824769e-01,2.627088113921649537e-01,3.940632170882247820e-01,5.254176227843299074e-01
9.085000000000000000e+02,1.311718137400874618e-01,2.623436274801749235e-01,3.935154412202530594e-01,5.246872549603498470e-01
9.090000000000000000e+02,1.309894795938426615e-01,2.619789591876853230e-01,3.929684387815113311e-01,5.239579183753706459e-01
9.095000000000000000e+02,1.308073949374184419e-01,2.616147898748368839e-01,3.924221848122506628e-01,5.232295797496737677e-01
9.100000000000000000e+02,1.306255673219467450e-01,2.612511346438934901e-01,3.918767019658311312e-01,5.225022692877869801e-01
9.105000000000000000e+02,1.304439885553076994e-01,2.608879771106153989e-01,3.913319656659268730e-01,5.217759542212307977e-01
9.110000000000000000e+02,1.302626660637864475e-01,2.605253321275728950e-01,3.907879981913682244e-01,5.210506642551457901e-01
9.115000000000000000e+02,1.300815917810596023e-01,2.601631835621192046e-01,3.902447753432012334e-01,5.203263671242384092e-01
9.120000000000000000e+02,1.299007730105838920e-01,2.598015460211677841e-01,3.897023190317536745e-01,5.196030920423355681e-01
9.125000000000000000e+02,1.297202018098200238e-01,2.594404036196400476e-01,3.891606054294802775e-01,5.188808072392800952e-01
9.130000000000000000e+02,1.295398853613602963e-01,2.590797707227205926e-01,3.886196560840904368e-01,5.181595414454411852e-01
9.135000000000000000e+02,1.293598158445108393e-01,2.587196316890216785e-01,3.880794475335260785e-01,5.174392633780433570e-01
9.140000000000000000e+02,1.291800003229279792e-01,2.583600006458559584e-01,3.875400009687561820e-01,5.167200012917119167e-01
9.145000000000000000e+02,1.290004310958197120e-01,2.580008621916394240e-01,3.870012932874358214e-01,5.160017243832788481e-01
9.150000000000000000e+02,1.288211151098401785e-01,2.576422302196803571e-01,3.864633453295036603e-01,5.152844604393607142e-01
9.155000000000000000e+02,1.286420447821947644e-01,2.572840895643895287e-01,3.859261343465654193e-01,5.145681791287790574e-01
9.160000000000000000e+02,1.284632269444032637e-01,2.569264538888065275e-01,3.853896808331738200e-01,5.138529077776130549e-01
9.165000000000000000e+02,1.282846541298052756e-01,2.565693082596105512e-01,3.848539623893909578e-01,5.131386165192211024e-01
9.170000000000000000e+02,1.281063330566352132e-01,2.562126661132704264e-01,3.843189991698912067e-01,5.124253322265408528e-01
9.175000000000000000e+02,1.279282563725274713e-01,2.558565127450549426e-01,3.837847691175761966e-01,5.117130254901098851e-01
9.180000000000000000e+02,1.277504306842565107e-01,2.555008613685130214e-01,3.832512920527539890e-01,5.110017227370260429e-01
9.185000000000000000e+02,1.275728487519294241e-01,2.551456975038588482e-01,3.827185462557807227e-01,5.102913950077176963e-01
9.190000000000000000e+02,1.273955170726528419e-01,2.547910341453056837e-01,3.821865512179423163e-01,5.095820682906113674e-01
9.195000000000000000e+02,1.272184285172373031e-01,2.544368570344746061e-01,3.816552855517176823e-01,5.088737140689492122e-01
9.200000000000000000e+02,1.270415894748686547e-01,2.540831789497373094e-01,3.811247684246072964e-01,5.081663578994746189e-01
9.205000000000000000e+02,1.268649929253116149e-01,2.537299858506232297e-01,3.805949787759557168e-01,5.074599717012464595e-01
9.210000000000000000e+02,1.266886451515767398e-01,2.533772903031534796e-01,3.800659354547422097e-01,5.067545806063069591e-01
9.215000000000000000e+02,1.265125392406529770e-01,2.530250784813059539e-01,3.795376177219624836e-01,5.060501569626119078e-01
9.220000000000000000e+02,1.263366813710680159e-01,2.526733627421360318e-01,3.790100441132029374e-01,5.053467254842720635e-01
9.225000000000000000e+02,1.261610647353395009e-01,2.523221294706790019e-01,3.784831942060131738e-01,5.046442589413580038e-01
9.230000000000000000e+02,1.259856954092080095e-01,2.519713908184160189e-01,3.779570862276155907e-01,5.039427816368320379e-01
9.235000000000000000e+02,1.258105666890441121e-01,2.516211333780882242e-01,3.774317000671256750e-01,5.032422667561764484e-01
9.240000000000000000e+02,1.256356845494435159e-01,2.512713690988870319e-01,3.769070536483223322e-01,5.025427381977740637e-01
9.245000000000000000e+02,1.254610423889856996e-01,2.509220847779713992e-01,3.763831271669637601e-01,5.018441695559427984e-01
9.250000000000000000e+02,1.252866460827593009e-01,2.505732921655186018e-01,3.758599382482863405e-01,5.011465843310372037e-01
9.255000000000000000e+02,1.251124891299302266e-01,2.502249782598604533e-01,3.753374673898015601e-01,5.004499565197209066e-01
